,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-0.9097927,,,
3,1901-04-16,-1.0207734,,,
4,1901-05-16,0.30244693,,,
5,1901-06-16,0.7643976,-0.12160736,,
6,1901-07-16,1.0033883,0.10657058,,
7,1901-08-16,-0.5235377,-0.30306688,,
8,1901-09-16,-0.703629,-0.13812639,-0.5953745,
9,1901-10-16,-1.4074135,-0.048933845,-0.5961926,
10,1901-11-16,-0.8345831,-0.848712,-0.5699305,
11,1901-12-16,-1.6446947,-1.2477337,-0.56981325,-0.94929147
12,1902-01-16,-2.2150025,-2.336844,-0.98041946,-1.3277098
13,1902-02-15,-2.2543314,-2.463138,-2.1695192,-1.5757971
14,1902-03-16,-2.0403752,-2.2529736,-2.0740273,-1.5189651
15,1902-04-16,-1.3214494,-2.06182,-2.2766216,-1.4211885
16,1902-05-16,-0.55427927,-1.8161942,-1.9775041,-1.7852567
17,1902-06-16,0.19387811,-1.4027091,-1.7462269,-1.6959081
18,1902-07-16,0.0840806,-0.8464306,-1.5962099,-1.9126849
19,1902-08-16,-0.48806906,-0.7707917,-1.7782301,-1.9152255
20,1902-09-16,-1.1417745,-0.75896007,-1.6810178,-1.9626864
21,1902-10-16,-1.2193829,-0.67949677,-1.2530748,-1.8478018
22,1902-11-16,-0.18249059,-0.55551803,-0.79670733,-1.6808413
23,1902-12-16,-0.48367682,-1.2137812,-0.86854005,-1.7492747
24,1903-01-16,-0.2677127,-1.0960557,-0.7408057,-1.2696838
25,1903-02-15,-1.0113717,-1.0259007,-1.0550561,-1.1521019
26,1903-03-16,-0.35901713,-0.5818193,-1.1579509,-0.9284363
27,1903-04-16,-0.8645937,-0.8535371,-1.298429,-1.025961
28,1903-05-16,-0.15487795,-0.74766064,-0.7888565,-0.914963
29,1903-06-16,-0.93292993,-0.85351896,-0.95633394,-1.3438044
30,1903-07-16,0.4776301,-0.20610543,-0.32086352,-0.83934516
31,1903-08-16,0.22395785,0.008134107,-0.42317876,-0.47312045
32,1903-09-16,0.67672676,-0.037709843,-0.1716253,-0.31765774
33,1903-10-16,-0.24200116,0.119015396,-0.31994495,-0.4201447
34,1903-11-16,-0.5031877,-0.025265565,-0.18636845,-0.5655513
35,1903-12-16,-0.9424014,0.22466366,-0.32466352,-0.41930446
36,1904-01-16,0.6894555,0.14367351,0.368968,-0.10247966
37,1904-02-15,-0.275382,-0.5357296,-0.1672516,-0.3062748
38,1904-03-16,1.012381,0.4470736,0.6706602,0.20803227
39,1904-04-16,-0.098968886,0.24443348,-0.027107546,0.20344865
40,1904-05-16,0.8251636,0.44844446,0.23233946,0.22842605
41,1904-06-16,-0.9047468,0.23606773,-0.09290629,0.27215815
42,1904-07-16,-0.46685305,-0.41050938,-0.12018317,-0.26350245
43,1904-08-16,-0.4873587,0.07915503,-0.05080386,-0.19594085
44,1904-09-16,-0.36945406,-0.8162891,-0.1290606,-0.38560858
45,1904-10-16,0.004950533,-0.39257774,-0.37547424,-0.17030847
46,1904-11-16,0.35145187,-0.32502332,0.12703055,-0.004879147
47,1904-12-16,0.6801224,-0.07691199,-0.5500298,0.03327362
48,1905-01-16,0.7948918,0.38090798,-0.03760801,-0.1112895
49,1905-02-15,0.13838284,0.2848209,-0.24507324,0.13373916
50,1905-03-16,0.083956085,0.33481088,-0.1240578,-0.4766922
51,1905-04-16,-0.98640805,-0.38201502,-0.4069678,-0.5713941
52,1905-05-16,-0.7804406,-0.4588866,-0.3455399,-0.61208194
53,1905-06-16,-1.176407,-0.65814716,-0.3542211,-0.5536639
54,1905-07-16,-1.0985347,-1.4788704,-0.9735735,-0.8940185
55,1905-08-16,-1.4345773,-1.6795715,-1.3720946,-1.2216319
56,1905-09-16,-0.7125268,-1.2039839,-0.9716162,-0.7601704
