,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.036721326,,,
3,1901-04-16,-0.3837722,,,
4,1901-05-16,-0.35111764,,,
5,1901-06-16,-0.89701056,-0.7359469,,
6,1901-07-16,-0.67931664,-0.7974601,,
7,1901-08-16,-0.73976135,-0.8458823,,
8,1901-09-16,-0.73110574,-1.0013759,-0.9659064,
9,1901-10-16,-0.895609,-1.044841,-1.093764,
10,1901-11-16,-1.3380532,-1.1073534,-1.1564108,
11,1901-12-16,-0.930076,-0.86378044,-1.1018608,-1.0617284
12,1902-01-16,-1.3132894,-1.1258256,-1.208215,-1.2397096
13,1902-02-15,-1.4771862,-1.7688344,-1.4089928,-1.4345707
14,1902-03-16,-1.7603558,-1.7535269,-1.3441503,-1.5003653
15,1902-04-16,-1.4295957,-1.6189599,-1.551279,-1.5295606
16,1902-05-16,-1.1372516,-1.5226723,-1.6989124,-1.5414171
17,1902-06-16,-0.086009845,-1.1952422,-1.3091393,-1.2144185
18,1902-07-16,-0.96380544,-1.5793493,-1.7027221,-1.8127513
19,1902-08-16,-1.1442542,-1.4683928,-1.7212331,-1.9289241
20,1902-09-16,-1.2269943,-1.1331216,-1.5600209,-1.6598232
21,1902-10-16,-0.6227639,-1.0437794,-1.4506526,-1.5857086
22,1902-11-16,0.08557676,-1.0154243,-1.3199329,-1.5658584
23,1902-12-16,-0.3735396,-1.2404437,-1.156322,-1.5536413
24,1903-01-16,-0.508454,-0.7230758,-1.1007824,-1.4862945
25,1903-02-15,-0.5490774,-0.33658078,-1.1284018,-1.414035
26,1903-03-16,0.028371058,-0.17730966,-1.1828594,-1.11762
27,1903-04-16,0.13109608,-0.09734305,-0.5917832,-0.9668982
28,1903-05-16,0.42347145,-0.0057476386,-0.09179042,-0.867985
29,1903-06-16,-0.63322115,-0.57164013,-0.64706314,-1.23042
30,1903-07-16,-0.106533736,-0.0660658,-0.20213506,-0.559163
31,1903-08-16,-0.22442728,-0.07777649,-0.24266991,-0.26093516
32,1903-09-16,0.2449581,-0.06235081,-0.08168667,-0.15722884
33,1903-10-16,0.00857467,-0.1168669,-0.08346583,-0.17594382
34,1903-11-16,0.33340204,-0.120042264,0.0036734045,-0.14000922
35,1903-12-16,0.3486559,0.26895264,-0.028494217,-0.049410507
36,1904-01-16,0.8851737,0.1854074,0.01626698,0.046471164
37,1904-02-15,0.17967728,0.23228514,-0.10137251,0.028882325
38,1904-03-16,1.1721997,1.0910745,0.6136835,0.29899508
39,1904-04-16,0.4887494,0.7385335,0.3331107,0.15393886
40,1904-05-16,0.57944953,0.4633427,0.3965274,0.064599
41,1904-06-16,-0.6944457,0.1747299,0.20903072,0.26376092
42,1904-07-16,-1.224855,-0.8558069,-0.6389164,-0.48962438
43,1904-08-16,-1.3242384,-1.0053799,-0.96093035,-0.8406502
44,1904-09-16,-1.0890985,-1.228179,-0.8451824,-0.811916
45,1904-10-16,-0.5114783,-1.1381159,-0.91160274,-0.77832663
46,1904-11-16,0.5099266,-1.0181174,-0.7586673,-0.72685784
47,1904-12-16,0.92638135,-0.9015974,-1.0675356,-0.70195866
48,1905-01-16,1.7230268,0.00242161,-0.78270257,-0.5782972
49,1905-02-15,1.7264061,1.2489483,-0.5216399,-0.29642206
50,1905-03-16,1.6594944,1.7067211,-0.2854811,-0.5207783
51,1905-04-16,1.3770545,1.7801411,0.5381879,-0.29035777
52,1905-05-16,0.25737098,1.0938262,0.9923569,-0.40847415
53,1905-06-16,-0.77357197,0.50143886,0.6578816,-0.5299344
54,1905-07-16,-1.684524,-0.79873264,-0.3201016,-0.57797366
55,1905-08-16,-1.8680782,-1.6081796,-1.1214101,-0.9343232
56,1905-09-16,-1.5052308,-1.588784,-1.010043,-0.8921392
57,1905-10-16,-1.1429002,-1.7860165,-1.2173996,-0.9021274
