,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.13121699,,,
3,1901-04-16,-0.61858505,,,
4,1901-05-16,1.1266779,,,
5,1901-06-16,1.4462427,1.0762808,,
6,1901-07-16,0.87101436,0.21055453,,
7,1901-08-16,-1.5489857,-0.55256325,,
8,1901-09-16,-1.3014958,-0.42731917,-0.397732,
9,1901-10-16,-1.106819,-0.22444026,-0.50859714,
10,1901-11-16,0.10077787,-1.3147472,-0.5273561,
11,1901-12-16,-1.6972303,-1.5266917,-0.6686204,-0.6206616
12,1902-01-16,-2.4035559,-1.797076,-0.7173383,-0.910083
13,1902-02-15,-2.1177952,-1.7196594,-1.9441584,-1.1480306
14,1902-03-16,-2.223787,-2.2471728,-2.085297,-1.3291439
15,1902-04-16,-1.6890229,-2.0716424,-2.0276961,-1.3095447
16,1902-05-16,-1.5176878,-2.091495,-1.8444858,-1.9988388
17,1902-06-16,-1.0436312,-1.9824061,-2.1035707,-1.9959155
18,1902-07-16,-1.0252469,-1.874752,-2.1306138,-2.0472434
19,1902-08-16,-1.341458,-1.9198463,-2.3614316,-2.1418786
20,1902-09-16,-1.4180611,-1.5575202,-2.1368122,-2.2229156
21,1902-10-16,-1.4320892,-1.4351999,-1.9835225,-2.1866004
22,1902-11-16,-0.35410348,-1.2864518,-1.7560167,-2.1325338
23,1902-12-16,-0.5752619,-1.4813237,-1.5968028,-2.1431823
24,1903-01-16,-0.4422146,-1.464014,-1.4807552,-1.9921434
25,1903-02-15,-1.2284473,-1.2153826,-1.6082484,-1.9866911
26,1903-03-16,0.025867492,-0.25909427,-1.3142747,-1.4843112
27,1903-04-16,-0.37138978,-0.54417783,-1.1935356,-1.3593692
28,1903-05-16,0.7831192,0.03886099,-0.13844746,-0.9232453
29,1903-06-16,0.0065644756,-0.0643156,-0.2166994,-1.110048
30,1903-07-16,-0.40742582,-0.5741306,-0.6788617,-1.2153841
31,1903-08-16,-1.1550941,-0.5016876,-0.87868124,-0.9346512
32,1903-09-16,-0.70563143,-0.6518975,-0.64940864,-0.73662657
33,1903-10-16,-0.4813167,-0.629815,-0.73880255,-0.824951
34,1903-11-16,0.091259904,-1.0031825,-0.48650864,-0.8179608
35,1903-12-16,-0.24782336,-0.78587955,-0.70506376,-0.6923049
36,1904-01-16,1.5067713,0.14687692,-0.21098214,-0.36689693
37,1904-02-15,0.22864227,0.20040852,-0.8866521,-0.41260952
38,1904-03-16,1.7621207,1.4655714,0.21677403,0.14422104
39,1904-04-16,0.6179049,1.1221709,0.371195,0.09062086
40,1904-05-16,0.9706011,0.8852541,0.74384224,-0.25623366
41,1904-06-16,-1.2050567,0.62015796,0.46543485,-0.26603985
42,1904-07-16,-1.2644591,-0.46478558,0.04001362,-0.32766452
43,1904-08-16,-1.246531,-0.43583676,-0.36232445,-0.36368594
44,1904-09-16,-0.8623755,-1.2240496,-0.36318696,-0.42379034
45,1904-10-16,-0.458357,-1.0663419,-0.65462875,-0.3065872
46,1904-11-16,0.20387733,-1.0399916,-0.3993434,-0.34225917
47,1904-12-16,-0.44097158,-0.9621013,-1.2695029,-0.44516546
48,1905-01-16,-0.11238519,-0.5278506,-1.0788789,-0.6762608
49,1905-02-15,0.55706877,0.50437856,-0.8092963,-0.23049232
50,1905-03-16,1.409457,1.0613906,-0.18642388,-0.6291073
51,1905-04-16,0.6778017,0.48840004,-0.041658062,-0.59812266
52,1905-05-16,0.5663759,0.67160845,0.5984119,-0.40998626
53,1905-06-16,-0.7100981,0.5526281,0.36520946,-0.4311856
54,1905-07-16,-1.3279938,-0.46478587,-0.50368637,-0.70005625
55,1905-08-16,-2.0826988,-1.367944,-1.1181616,-1.015442
56,1905-09-16,-1.0346977,-1.16967,-0.5363276,-0.6133135
57,1905-10-16,-0.6000088,-1.1758193,-0.7237831,-0.75624746
