,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.14273635,,,
3,1901-04-16,-0.17007166,,,
4,1901-05-16,-0.07375968,,,
5,1901-06-16,-0.362567,-0.2076035,,
6,1901-07-16,0.19511351,0.041825823,,
7,1901-08-16,-0.074014455,-0.1373577,,
8,1901-09-16,-0.06162809,-0.20619516,-0.18065926,
9,1901-10-16,-0.47496095,-0.20957114,-0.2723792,
10,1901-11-16,-0.59574383,-0.2913564,-0.31680495,
11,1901-12-16,-0.7373253,-0.22528166,-0.3413188,-0.29834908
12,1902-01-16,-0.94881064,-0.74355406,-0.40516585,-0.42305443
13,1902-02-15,-1.0401846,-1.1854559,-0.58376044,-0.56484604
14,1902-03-16,-1.0495216,-1.1627401,-0.62023735,-0.6966211
15,1902-04-16,-0.95188063,-1.1378524,-1.0941284,-0.7460593
16,1902-05-16,-0.6905457,-1.0375928,-1.1549426,-0.7926234
17,1902-06-16,-0.2559113,-0.912567,-1.0167506,-0.65820193
18,1902-07-16,-0.46722317,-1.0155721,-1.1669301,-1.2505219
19,1902-08-16,-0.5609189,-0.8909268,-1.1369784,-1.2406384
20,1902-09-16,-0.63260555,-0.7026379,-1.042546,-1.1342367
21,1902-10-16,-0.3177601,-0.5678411,-0.9342986,-1.0694772
22,1902-11-16,0.10416341,-0.5079276,-0.8039515,-1.0294589
23,1902-12-16,0.18205757,-0.6129049,-0.673083,-0.9883059
24,1903-01-16,0.10024013,-0.32517365,-0.56698793,-0.9036719
25,1903-02-15,-0.090245575,-0.08221496,-0.5409757,-0.815027
26,1903-03-16,0.23964457,0.20539525,-0.5019565,-0.5718202
27,1903-04-16,0.21024366,0.18285617,-0.19600582,-0.42054695
28,1903-05-16,0.5790464,0.387179,0.27376354,-0.2594418
29,1903-06-16,0.0155347865,0.12561454,0.11065981,-0.47740453
30,1903-07-16,-0.006289812,0.087782025,0.06438314,-0.22917025
31,1903-08-16,-0.2528387,0.014788943,-0.04607508,-0.08475449
32,1903-09-16,-0.11267651,-0.12608148,-0.072467595,-0.07337228
33,1903-10-16,-0.19244938,-0.18171524,-0.09265312,-0.10558856
34,1903-11-16,-0.044084977,-0.28993815,-0.03287,-0.0822906
35,1903-12-16,0.38146845,-0.082521625,-0.08796852,-0.034481034
36,1904-01-16,0.8806769,0.026904594,-0.026594842,0.05863744
37,1904-02-15,0.22689565,0.011660369,-0.24074599,0.018388689
38,1904-03-16,0.8044608,0.7796354,0.2235863,0.186639
39,1904-04-16,0.20355041,0.47319978,0.072253786,0.026710492
40,1904-05-16,0.2493489,0.2457021,0.09092996,-0.14888003
41,1904-06-16,-0.71505743,0.03725744,0.08343817,-0.106218144
42,1904-07-16,-0.70321757,-0.4358797,-0.22242069,-0.38788173
43,1904-08-16,-0.62876254,-0.4388914,-0.3889235,-0.4389843
44,1904-09-16,-0.47250158,-0.7545682,-0.39756063,-0.3532638
45,1904-10-16,-0.18582655,-0.6224078,-0.4599025,-0.31315434
46,1904-11-16,0.23913841,-0.5129935,-0.3619339,-0.3180645
47,1904-12-16,0.15545031,-0.4671376,-0.72687125,-0.38239947
48,1905-01-16,0.9019716,0.02916328,-0.4484125,-0.29996812
49,1905-02-15,1.1449928,0.84259015,-0.16433102,-0.052497864
50,1905-03-16,1.3355242,1.2105215,0.12836553,-0.16230546
51,1905-04-16,1.0378096,1.1899529,0.50639516,0.00677115
52,1905-05-16,0.2962365,0.7361019,0.64479893,-0.081735566
53,1905-06-16,-0.5329296,0.603427,0.53714883,-0.12632185
54,1905-07-16,-1.0443451,-0.16346706,0.026403364,-0.189231
55,1905-08-16,-0.962798,-0.70210904,-0.35959062,-0.33081904
56,1905-09-16,-0.7254055,-0.9008137,-0.28795102,-0.28419268
57,1905-10-16,-0.5241667,-1.0584309,-0.4566234,-0.31132412
