,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.21405786,,,
3,1901-04-16,-0.3022106,,,
4,1901-05-16,0.9183459,,,
5,1901-06-16,1.087502,0.8377991,,
6,1901-07-16,0.5305002,0.14365049,,
7,1901-08-16,-1.259855,-0.39458326,,
8,1901-09-16,-1.0913603,-0.38373268,-0.31610844,
9,1901-10-16,-0.95072097,-0.29948735,-0.4277928,
10,1901-11-16,-0.2514775,-1.1969827,-0.4716708,
11,1901-12-16,-1.4035938,-1.330471,-0.61574113,-0.52138704
12,1902-01-16,-1.9246298,-1.5359298,-0.7366713,-0.76893085
13,1902-02-15,-1.6667935,-1.6061114,-1.7295803,-0.9827368
14,1902-03-16,-1.7605915,-1.8769834,-1.8497354,-1.2030882
15,1902-04-16,-1.352374,-1.7039118,-1.7339709,-1.2148421
16,1902-05-16,-1.2024256,-1.7054474,-1.6091526,-1.7657313
17,1902-06-16,-0.76327074,-1.6284891,-1.7497154,-1.7283628
18,1902-07-16,-0.8498323,-1.5901556,-1.8446832,-1.8449852
19,1902-08-16,-1.058457,-1.6352239,-2.0290165,-1.9291066
20,1902-09-16,-1.1697617,-1.3237225,-1.8667479,-1.9779372
21,1902-10-16,-1.1286309,-1.229682,-1.7220293,-1.9335017
22,1902-11-16,-0.35249463,-1.0640478,-1.537638,-1.8830217
23,1902-12-16,-0.40349346,-1.2394683,-1.3624957,-1.8676188
24,1903-01-16,-0.2964294,-1.1500512,-1.2676613,-1.726799
25,1903-02-15,-0.81449294,-0.92110705,-1.2985954,-1.7025372
26,1903-03-16,0.15385891,-0.085477054,-1.0299349,-1.1997348
27,1903-04-16,-0.08188662,-0.23805279,-0.82500315,-1.0347843
28,1903-05-16,0.69070655,0.17096217,-0.010684763,-0.67798114
29,1903-06-16,0.021520484,0.043136276,-0.09371884,-0.87068105
30,1903-07-16,-0.5456077,-0.45985883,-0.5439835,-1.0002395
31,1903-08-16,-1.0568817,-0.42161834,-0.6902635,-0.7604745
32,1903-09-16,-0.7083266,-0.64047,-0.57387733,-0.648849
33,1903-10-16,-0.4991547,-0.7219534,-0.65907323,-0.72834015
34,1903-11-16,-0.14540412,-1.0064178,-0.4717015,-0.7085257
35,1903-12-16,-0.07291055,-0.76251477,-0.6724434,-0.5959065
36,1904-01-16,1.2953693,0.05144832,-0.35535598,-0.34074944
37,1904-02-15,0.22043896,0.049970016,-0.8764993,-0.39641565
38,1904-03-16,1.4399695,1.2161351,0.11046298,0.056081638
39,1904-04-16,0.53963166,0.9315329,0.29117623,-0.043173596
40,1904-05-16,0.7873335,0.7187161,0.543936,-0.3134416
41,1904-06-16,-1.0315107,0.4391606,0.33901763,-0.3329041
42,1904-07-16,-1.1767988,-0.4064597,-0.01013536,-0.3501548
43,1904-08-16,-1.0819707,-0.37090307,-0.30368656,-0.3643626
44,1904-09-16,-0.737691,-1.1192483,-0.34654957,-0.38327354
45,1904-10-16,-0.40492624,-1.0198313,-0.5805638,-0.28893483
46,1904-11-16,0.16614617,-0.93392825,-0.3543502,-0.29972115
47,1904-12-16,-0.33332276,-0.8398077,-1.1624908,-0.4167356
48,1905-01-16,0.10952742,-0.40822333,-0.9875177,-0.5608876
49,1905-02-15,0.62549686,0.53966355,-0.6561005,-0.15501535
50,1905-03-16,1.3091087,1.0232041,-0.04918693,-0.48004055
51,1905-04-16,0.7503741,0.6403873,0.13188918,-0.42654067
52,1905-05-16,0.5345884,0.6743609,0.5910764,-0.29074997
53,1905-06-16,-0.56310284,0.5825019,0.41689688,-0.29895216
54,1905-07-16,-1.2565782,-0.29145753,-0.29229814,-0.5191084
55,1905-08-16,-1.7871358,-1.0771166,-0.80731213,-0.7542116
56,1905-09-16,-1.0188875,-1.1302781,-0.44309828,-0.5142359
