,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-0.05179726,,,
3,1901-04-16,-0.63826233,,,
4,1901-05-16,1.20971,,,
5,1901-06-16,1.580552,1.0933338,,
6,1901-07-16,1.5351723,0.56790787,,
7,1901-08-16,-1.3064508,0.17695518,,
8,1901-09-16,-1.2879399,0.2915462,0.15939122,
9,1901-10-16,-0.9447803,0.65308255,0.07325529,
10,1901-11-16,-0.22608404,-1.2263433,0.053724807,
11,1901-12-16,-1.3945004,-1.6448873,-0.13636501,-0.17902292
12,1902-01-16,-2.0632699,-1.9594105,-0.27573735,-0.5980259
13,1902-02-15,-2.0691955,-2.0353403,-2.2368042,-0.92509556
14,1902-03-16,-2.2151,-2.207755,-2.3571606,-1.2183949
15,1902-04-16,-1.7428923,-2.1214926,-2.1696517,-1.2059675
16,1902-05-16,-1.5216751,-2.0960853,-2.050168,-2.1525424
17,1902-06-16,-0.96932745,-1.9899307,-2.0797758,-2.1705322
18,1902-07-16,-0.9053051,-1.8557554,-2.1287956,-2.1687448
19,1902-08-16,-1.1650611,-1.8660336,-2.2805092,-2.231919
20,1902-09-16,-1.4183954,-1.542583,-2.2591875,-2.3153582
21,1902-10-16,-1.321565,-1.3265847,-2.0466254,-2.2584245
22,1902-11-16,-0.15569085,-1.0498716,-1.7151154,-2.1714895
23,1902-12-16,-0.3306726,-1.3558005,-1.541481,-2.292941
24,1903-01-16,-0.21947777,-1.1329998,-1.2772208,-1.978943
25,1903-02-15,-1.1041572,-1.1048468,-1.4960909,-1.9887458
26,1903-03-16,-0.104920626,-0.284972,-1.0726844,-1.3354074
27,1903-04-16,-0.5100429,-0.5519032,-0.99297553,-1.1765732
28,1903-05-16,0.76677614,-0.041019976,-0.0948836,-0.61370134
29,1903-06-16,0.28177854,0.037620667,-0.09197601,-0.75154656
30,1903-07-16,0.34221712,-0.22420926,-0.31189394,-0.7422354
31,1903-08-16,-0.6881018,0.07581189,-0.48306513,-0.503222
32,1903-09-16,-0.25580543,-0.09145901,-0.19015163,-0.29058877
33,1903-10-16,-0.303247,-0.015329857,-0.3529284,-0.4321271
34,1903-11-16,-0.14138474,-0.6904428,-0.0075601935,-0.5014005
35,1903-12-16,-0.3927599,-0.52195525,-0.27098772,-0.31727192
36,1904-01-16,1.2347575,0.5489853,0.5019873,0.08108788
37,1904-02-15,0.1370813,0.029705292,-0.5292299,0.022265753
38,1904-03-16,1.4431963,1.0050684,0.52030325,0.5189741
39,1904-04-16,0.13745667,0.6816748,0.37615904,0.42079127
40,1904-05-16,0.67364377,0.54718393,0.4423571,-0.025622243
41,1904-06-16,-1.2322756,0.2949207,0.097614564,-0.12048865
42,1904-07-16,-1.1939578,-0.5917394,-0.041453514,-0.19788666
43,1904-08-16,-1.0545197,-0.20580654,-0.16496366,-0.20946471
44,1904-09-16,-0.35583404,-1.0647907,-0.06362099,-0.211551
45,1904-10-16,0.1764337,-0.7377817,-0.478304,-0.041848768
46,1904-11-16,0.62826097,-0.5970021,-0.0244157,-0.01920308
47,1904-12-16,-0.22903936,-0.49381056,-1.075658,-0.1362501
48,1905-01-16,0.007095819,0.03129821,-0.68573767,-0.471723
49,1905-02-15,0.22805162,0.48630396,-0.410043,0.044905245
50,1905-03-16,1.0975637,0.7671365,0.2734534,-0.3472289
51,1905-04-16,0.20140493,0.1372968,0.12810342,-0.382364
52,1905-05-16,0.4657937,0.42812994,0.55476326,-0.06410014
53,1905-06-16,-0.50731707,0.41220912,0.2679416,-0.030718245
54,1905-07-16,-0.7736699,-0.32159314,-0.30602852,-0.24918295
55,1905-08-16,-1.8965718,-0.88488084,-0.68651485,-0.49974123
56,1905-09-16,-0.99803907,-1.0514612,-0.3034089,-0.368245
57,1905-10-16,-0.65375143,-0.9264316,-0.5701799,-0.54784006
