,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.3008969,,,
3,1901-04-16,-0.33330604,,,
4,1901-05-16,0.30732855,,,
5,1901-06-16,0.04997509,0.17147367,,
6,1901-07-16,0.12908038,-0.09985523,,
7,1901-08-16,-0.65512073,-0.5140035,,
8,1901-09-16,-0.7361226,-0.6420419,-0.54813576,
9,1901-10-16,-1.145292,-0.6454329,-0.72511244,
10,1901-11-16,-1.2779033,-0.9740716,-0.80069983,
11,1901-12-16,-1.5823978,-0.9791632,-0.8543834,-0.7596108
12,1902-01-16,-1.9556657,-1.5486959,-0.9791469,-1.0201465
13,1902-02-15,-1.8931768,-2.1986063,-1.4218799,-1.2365838
14,1902-03-16,-1.806701,-2.033405,-1.4570682,-1.2996382
15,1902-04-16,-1.2745534,-1.7556164,-1.7403,-1.2771939
16,1902-05-16,-0.8049753,-1.6361848,-1.7754328,-1.4546481
17,1902-06-16,-0.323142,-1.4988794,-1.7615736,-1.3614693
18,1902-07-16,-0.89861304,-1.5091425,-1.8084046,-1.8676798
19,1902-08-16,-1.1616838,-1.4035007,-1.8291986,-1.9877471
20,1902-09-16,-1.1942147,-1.1632137,-1.6642854,-1.841873
21,1902-10-16,-0.85560375,-1.1123934,-1.5026462,-1.7554368
22,1902-11-16,-0.12922975,-1.1162362,-1.3298397,-1.7182088
23,1902-12-16,-0.6886966,-1.26406,-1.2281587,-1.6874487
24,1903-01-16,-0.7464656,-1.0305884,-1.2200075,-1.5715066
25,1903-02-15,-0.98358333,-0.8274286,-1.3285942,-1.5141959
26,1903-03-16,-0.2755543,-0.56898415,-1.295028,-1.2653645
27,1903-04-16,-0.40624303,-0.69061625,-1.0297389,-1.2081708
28,1903-05-16,0.19417147,-0.4104612,-0.46080858,-1.1035203
29,1903-06-16,-0.6781074,-0.7860847,-0.9431609,-1.3159088
30,1903-07-16,-0.53594255,-0.7159811,-0.8799031,-1.1316193
31,1903-08-16,-0.5598839,-0.48130473,-0.73886096,-0.7454381
32,1903-09-16,-0.25503317,-0.502554,-0.5933544,-0.71011025
33,1903-10-16,-0.18181379,-0.50757235,-0.61499155,-0.75426984
34,1903-11-16,-0.08416699,-0.580117,-0.4848246,-0.7228711
35,1903-12-16,-0.11741477,-0.31835714,-0.535503,-0.6159201
36,1904-01-16,0.8084456,0.012945511,-0.36706254,-0.4647834
37,1904-02-15,-0.13461082,-0.20398352,-0.6332316,-0.52453655
38,1904-03-16,1.3965588,1.1630826,0.28255776,-0.009435115
39,1904-04-16,0.6926647,0.868178,0.29829013,-0.11040415
40,1904-05-16,0.9424462,0.6749349,0.45693266,-0.22267798
41,1904-06-16,-1.0397215,0.3379231,0.22106674,-0.13856082
42,1904-07-16,-1.449147,-0.9010112,-0.6707912,-0.6438838
43,1904-08-16,-1.3388083,-0.8093722,-0.8396255,-0.8269277
44,1904-09-16,-1.2574165,-1.4431843,-0.90290594,-0.9337099
45,1904-10-16,-0.68552804,-1.3568583,-1.0060955,-0.86521196
46,1904-11-16,-0.15711452,-1.2745355,-0.80076367,-0.8323588
47,1904-12-16,-0.053313836,-1.2337781,-1.413394,-0.9016675
48,1905-01-16,0.862703,-0.4130289,-1.1759804,-0.8327765
49,1905-02-15,1.0865506,0.6389866,-0.9598877,-0.50915056
50,1905-03-16,1.2458171,1.0317653,-0.70358104,-0.96443886
51,1905-04-16,0.51536775,0.7477874,-0.12980317,-0.8902015
52,1905-05-16,-0.16101816,0.42299366,0.2020826,-0.9061248
53,1905-06-16,-1.1244158,0.11880418,0.039557993,-0.9630282
54,1905-07-16,-1.5670916,-1.1110046,-0.8506224,-1.02591
55,1905-08-16,-1.9103694,-1.7941234,-1.471352,-1.4303778
56,1905-09-16,-1.2161479,-1.4353654,-0.97351927,-0.9954941
