,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.7432723,,,
3,1901-04-16,-0.06424026,,,
4,1901-05-16,0.37241656,,,
5,1901-06-16,0.023868255,0.554858,,
6,1901-07-16,0.37694314,0.26643646,,
7,1901-08-16,-0.5757029,-0.47294506,,
8,1901-09-16,-0.72358453,-0.67733014,-0.41511598,
9,1901-10-16,-1.2676817,-0.7077104,-0.7045474,
10,1901-11-16,-0.9873421,-0.94874835,-0.8310697,
11,1901-12-16,-1.5678895,-0.94818497,-0.8912083,-0.6401527
12,1902-01-16,-2.0620818,-1.6899581,-1.12369,-1.1020868
13,1902-02-15,-2.065668,-2.253388,-1.495337,-1.3820192
14,1902-03-16,-2.0493116,-2.2155352,-1.4595928,-1.4058715
15,1902-04-16,-1.1452287,-1.9311695,-1.8211428,-1.3311998
16,1902-05-16,-0.33549416,-1.7334627,-1.8582973,-1.4329183
17,1902-06-16,0.21319465,-1.5444407,-1.9300373,-1.3444827
18,1902-07-16,-0.44601053,-1.0124365,-1.5786271,-1.8341004
19,1902-08-16,-0.988115,-1.07709,-1.6933067,-1.8687849
20,1902-09-16,-1.0545862,-0.9459132,-1.5236087,-1.7134902
21,1902-10-16,-0.9450948,-0.9567349,-1.2608104,-1.6238116
22,1902-11-16,-0.07672946,-0.9831871,-1.0604503,-1.5784158
23,1902-12-16,-0.90698874,-1.1557412,-1.0530012,-1.5883064
24,1903-01-16,-0.5076579,-1.0554634,-1.0461138,-1.3148786
25,1903-02-15,-1.0881559,-0.8076961,-1.2432321,-1.3048971
26,1903-03-16,-0.33598813,-0.7177752,-1.1947596,-1.1064522
27,1903-04-16,-0.62939334,-0.85984915,-1.1591239,-1.1424447
28,1903-05-16,0.274183,-0.6297616,-0.56088823,-1.0881747
29,1903-06-16,-1.0636584,-1.0147583,-1.271898,-1.3381618
30,1903-07-16,0.5142175,0.13882385,-0.07871229,-0.7083453
31,1903-08-16,0.41621804,0.42728826,0.09247719,-0.0043598413
32,1903-09-16,0.8121567,0.5004936,0.3666313,0.20641376
33,1903-10-16,0.37144744,0.5115212,0.3109607,0.1553123
34,1903-11-16,0.42402285,0.43288404,0.46641377,0.14312382
35,1903-12-16,-0.3459499,0.6906418,0.40182754,0.2763189
36,1904-01-16,0.78938293,0.52133095,0.6509568,0.4414379
37,1904-02-15,-0.108486906,0.23773164,0.37549347,0.4081189
38,1904-03-16,1.1777756,0.85080385,1.0142474,0.72935903
39,1904-04-16,0.40885106,0.69475436,0.5596242,0.67157626
40,1904-05-16,1.1258236,0.69958436,0.6574432,0.6004697
41,1904-06-16,-1.113267,0.28738487,0.102597274,0.68941057
42,1904-07-16,-0.8766151,-0.62160206,-0.33533505,0.0032398994
43,1904-08-16,-0.63102984,-0.2363294,-0.2699554,-0.1352848
44,1904-09-16,-0.76758957,-1.01101,-0.5682582,-0.6493976
45,1904-10-16,-0.41579428,-0.8506569,-0.688041,-0.5357204
46,1904-11-16,-0.3980349,-0.8136307,-0.43970302,-0.48322892
47,1904-12-16,0.37119925,-0.6951143,-0.92734516,-0.5115725
48,1905-01-16,0.94447935,-0.1428282,-0.6105376,-0.45953345
49,1905-02-15,0.9971627,0.2868101,-0.5054283,-0.1590191
50,1905-03-16,1.1136649,1.0400381,-0.30117732,-0.543046
51,1905-04-16,0.24593909,0.6861812,-0.08751372,-0.53484076
52,1905-05-16,-0.2699319,0.49188602,0.023149583,-0.5627726
53,1905-06-16,-1.4976735,0.0040388787,0.10680489,-0.62530625
54,1905-07-16,-1.5437518,-1.3305672,-0.92054665,-0.91794276
55,1905-08-16,-1.9329019,-1.9014153,-1.5343751,-1.5641891
56,1905-09-16,-0.77114373,-1.0961766,-0.6848469,-0.6483028
57,1905-10-16,-0.18170725,-1.0619953,-0.9505951,-0.7391134
