,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-1.0995826,,,
3,1901-04-16,-1.2156117,,,
4,1901-05-16,0.4547407,,,
5,1901-06-16,1.2563268,0.103633985,,
6,1901-07-16,1.3198116,0.14664589,,
7,1901-08-16,-0.4281428,-0.062199067,,
8,1901-09-16,-0.9890197,0.16853242,-0.47072583,
9,1901-10-16,-1.2708023,0.3696073,-0.42061526,
10,1901-11-16,-0.8275679,-0.8049723,-0.36503544,
11,1901-12-16,-1.5749332,-1.5819857,-0.3846416,-0.9048172
12,1902-01-16,-2.0342977,-2.3350487,-0.66544026,-1.2180054
13,1902-02-15,-2.1051636,-2.2389889,-2.1053874,-1.413479
14,1902-03-16,-1.9589039,-2.1552742,-2.2725,-1.3925879
15,1902-04-16,-1.4949344,-2.094791,-2.3327196,-1.302575
16,1902-05-16,-0.9806372,-1.9371506,-2.1172092,-1.9178108
17,1902-06-16,-0.38705745,-1.6762359,-1.9133236,-2.073808
18,1902-07-16,-0.34083524,-1.3112204,-1.8838555,-2.1044738
19,1902-08-16,-0.7477103,-1.2733315,-2.0417469,-2.1560376
20,1902-09-16,-1.3994836,-1.2345519,-2.0330782,-2.1970506
21,1902-10-16,-1.2958648,-1.001972,-1.6730635,-2.1054008
22,1902-11-16,0.37543863,-0.43985248,-0.99377537,-1.7997309
23,1902-12-16,0.42107886,-0.7955947,-0.9119921,-1.8351452
24,1903-01-16,0.39233702,-0.56475216,-0.6520027,-1.3694085
25,1903-02-15,-0.72572935,-0.4845004,-0.83839047,-1.2232239
26,1903-03-16,-0.20242503,0.008824348,-0.74555033,-0.8510932
27,1903-04-16,-0.6358808,-0.2937396,-0.8096962,-0.8254738
28,1903-05-16,0.33504602,-0.22968407,-0.109112605,-0.45824862
29,1903-06-16,0.05858624,-0.1092548,0.03135662,-0.5607676
30,1903-07-16,0.9375143,0.22916582,0.31393325,-0.203567
31,1903-08-16,0.40986672,0.47206268,0.038914204,0.12076151
32,1903-09-16,0.65792143,0.4936877,0.28831327,0.34133455
33,1903-10-16,-0.10792892,0.5627482,0.111962244,0.19108537
34,1903-11-16,-0.61963195,0.061322607,0.21050152,-0.1424304
35,1903-12-16,-1.3058306,-0.12171137,-0.019855943,-0.1052619
36,1904-01-16,0.3562142,0.053929873,0.60372037,0.16605191
37,1904-02-15,-0.4977067,-0.7943753,-0.27167678,-0.08958657
38,1904-03-16,0.47032064,-0.230401,0.13621347,0.18435872
39,1904-04-16,-0.59412247,-0.298255,-0.38841826,0.14021379
40,1904-05-16,0.2905107,-0.10881591,-0.31320044,-0.100689255
41,1904-06-16,-1.1337503,-0.31586674,-0.7082648,-0.29546788
42,1904-07-16,-0.7287848,-0.87617624,-0.6210712,-0.6650556
43,1904-08-16,-0.67883587,-0.33711874,-0.5220277,-0.6734625
44,1904-09-16,0.095269166,-0.7005774,-0.2886025,-0.6616539
45,1904-10-16,0.5794703,-0.2411333,-0.5074457,-0.389531
46,1904-11-16,1.1560833,0.03462838,0.104106665,-0.14737205
47,1904-12-16,0.67309207,0.30204192,-0.3934856,-0.085774705
48,1905-01-16,0.729844,0.7959369,0.15095028,-0.21363501
49,1905-02-15,-0.11410763,0.5593146,-0.077764116,-0.013005195
50,1905-03-16,0.045030028,0.29415232,0.18441959,-0.32645777
51,1905-04-16,-1.0104169,-0.40116185,-0.11985862,-0.44483638
52,1905-05-16,-0.4453196,-0.38586015,0.07404098,-0.31184167
53,1905-06-16,-0.74625665,-0.4133535,-0.12814057,-0.124015614
54,1905-07-16,-0.6757498,-1.1873993,-0.6992461,-0.4395114
55,1905-08-16,-1.2313731,-1.2777853,-1.0826021,-0.67029154
56,1905-09-16,-0.8450605,-1.0569239,-0.80103475,-0.57318795
57,1905-10-16,-0.55277884,-0.83480436,-1.2394549,-0.8346222
