,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.3786782,,,
3,1901-04-16,-0.3334134,,,
4,1901-05-16,-0.63257915,,,
5,1901-06-16,-1.2684251,-0.65378773,,
6,1901-07-16,-0.8779897,-0.9560228,,
7,1901-08-16,-1.036925,-1.1527812,,
8,1901-09-16,-0.9569659,-1.1760668,-1.0974058,
9,1901-10-16,-1.0807378,-1.163923,-1.2225847,
10,1901-11-16,-0.8944623,-1.1453958,-1.2503577,
11,1901-12-16,-0.46540368,-0.99742573,-1.2015774,-1.1226057
12,1902-01-16,-0.91070616,-1.1860001,-1.2375121,-1.2867483
13,1902-02-15,-1.3146914,-1.2551979,-1.2988863,-1.3832064
14,1902-03-16,-1.7792723,-1.5514152,-1.3188566,-1.4858325
15,1902-04-16,-1.5062265,-1.5737561,-1.5882158,-1.5085706
16,1902-05-16,-1.0537573,-1.3477339,-1.4244945,-1.4394102
17,1902-06-16,-0.29234293,-1.243322,-1.242259,-1.2840719
18,1902-07-16,-0.71110153,-1.2375116,-1.3478714,-1.7020955
19,1902-08-16,-0.08584554,-0.33553958,-0.5432238,-0.7666082
20,1902-09-16,0.09703924,0.033513688,-0.2816582,-0.34751377
21,1902-10-16,0.8134887,0.097301945,-0.23243487,-0.33777833
22,1902-11-16,0.66218644,0.07689989,-0.12914835,-0.3123424
23,1902-12-16,-0.3297315,0.051407076,-0.010442866,-0.31273964
24,1903-01-16,-0.24317747,0.6953173,0.057809833,-0.257182
25,1903-02-15,-0.21453956,0.28328642,0.0056628166,-0.18517315
26,1903-03-16,1.446519,0.89293367,0.2779309,0.20890939
27,1903-04-16,1.4532348,1.0779458,0.95898616,0.31072482
28,1903-05-16,1.6690719,1.1519051,0.93290484,0.3276088
29,1903-06-16,-0.29182014,0.56254655,0.29158744,0.18253164
30,1903-07-16,1.1463228,1.3461325,1.2628936,1.2903124
31,1903-08-16,0.52332413,0.8082943,0.71931964,0.7799767
32,1903-09-16,0.5184991,0.4295537,0.5951694,0.53784287
33,1903-10-16,-0.69989026,0.39152205,0.60693014,0.5453022
34,1903-11-16,-0.14549148,0.37083325,0.64718604,0.56040263
35,1903-12-16,0.19581938,0.496872,0.41050938,0.5750717
36,1904-01-16,1.5635792,-0.12000237,0.61872184,0.80577487
37,1904-02-15,1.2573372,0.5989318,0.59207773,0.830224
38,1904-03-16,1.7867707,1.5815488,0.8588395,0.769362
39,1904-04-16,0.6734572,1.3012447,0.055839594,0.69453055
40,1904-05-16,0.5258391,1.0618767,0.6195713,0.6360321
41,1904-06-16,-0.82586443,0.7325699,0.65314686,0.6824243
42,1904-07-16,-1.1452698,-0.7657826,-0.36066628,-0.72921497
43,1904-08-16,-1.4632211,-1.2555743,-0.95417225,-0.9647282
44,1904-09-16,-1.4158539,-1.5327017,-0.97490805,-0.98265904
45,1904-10-16,-1.2644151,-1.5068007,-1.2592928,-0.9848952
46,1904-11-16,-0.4142078,-1.4437892,-1.2690303,-0.99635124
47,1904-12-16,-0.38069865,-1.4229544,-1.5271766,-0.997781
48,1905-01-16,0.44426322,-1.0407,-1.3746656,-1.1647441
49,1905-02-15,1.7819875,0.553411,-1.025458,-0.9005352
50,1905-03-16,2.1670866,1.5865316,-0.8663442,-0.99649876
51,1905-04-16,2.253761,2.094812,-0.11443379,-0.7608558
52,1905-05-16,1.0242956,1.7622765,0.74309427,-0.8106752
53,1905-06-16,-0.026181402,1.313957,0.9973138,-0.84824216
54,1905-07-16,-1.0802803,-0.034502838,0.016032893,-0.8230066
55,1905-08-16,-1.3516753,-1.0566236,-0.68536747,-0.80772704
56,1905-09-16,-1.2901845,-1.2534078,-0.7152464,-0.7786624
57,1905-10-16,-1.3290166,-1.5071764,-0.83380383,-0.7849527
58,1905-11-16,-0.8264201,-1.4325639,-1.1709285,-0.83177215
