,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.42593673,,,
3,1901-04-16,-0.517086,,,
4,1901-05-16,-0.41127548,,,
5,1901-06-16,-0.8360803,-0.106477834,,
6,1901-07-16,0.65484184,0.018685674,,
7,1901-08-16,0.34114644,-0.05642113,,
8,1901-09-16,0.47235164,0.026415467,0.09263798,
9,1901-10-16,-0.77223593,0.11211653,-0.32690835,
10,1901-11-16,-0.745525,0.17848015,-0.161179,
11,1901-12-16,-0.5844664,0.1661211,-0.18118744,-0.051300548
12,1902-01-16,-1.1012864,-1.2939024,-0.48260146,-0.68339276
13,1902-02-15,-1.3193789,-1.4224939,-0.6968525,-0.7814404
14,1902-03-16,-1.5792056,-1.5136733,-0.80167115,-0.9731625
15,1902-04-16,-1.190394,-1.4775718,-1.5624187,-0.9760437
16,1902-05-16,-0.61169404,-1.2284473,-1.287044,-0.8304034
17,1902-06-16,0.08154356,-1.1398511,-1.1924636,-0.7001379
18,1902-07-16,-0.40924972,-1.096846,-1.34467,-1.5055635
19,1902-08-16,-0.52914995,-0.7414856,-1.1494027,-1.2063636
20,1902-09-16,-0.5709032,-0.4354723,-1.0976332,-1.1575085
21,1902-10-16,-0.045206346,-0.39513093,-0.9091206,-1.1461084
22,1902-11-16,0.8407836,-0.2525229,-0.5777661,-1.0272156
23,1902-12-16,0.30410013,-0.3192027,-0.28857425,-0.98315465
24,1903-01-16,-0.0865988,-0.02996259,-0.32379943,-0.8319873
25,1903-02-15,-0.441677,-0.21845393,-0.42193982,-0.6472064
26,1903-03-16,0.33706692,0.2734075,-0.1769108,-0.17487855
27,1903-04-16,0.5799307,0.3105446,0.21698168,-0.06402788
28,1903-05-16,1.2476732,0.5122299,0.56963706,0.14356579
29,1903-06-16,0.5526928,0.44107178,0.37593746,0.0016957389
30,1903-07-16,0.7659555,0.7214424,0.57847494,0.46791184
31,1903-08-16,-0.25126725,0.44749632,0.1527411,0.21718878
32,1903-09-16,-0.10970762,0.18724337,0.15699269,0.16717695
33,1903-10-16,-0.89740723,0.15219039,0.25898218,0.16834301
34,1903-11-16,-0.26812333,-0.30776414,0.37685776,0.101438634
35,1903-12-16,-0.0014419598,-0.12189525,0.13409561,0.12352643
36,1904-01-16,0.9173912,0.066476144,0.41757065,0.50942063
37,1904-02-15,0.74628687,0.6076421,0.09024327,0.5624597
38,1904-03-16,1.0006135,0.8604843,0.34474224,0.49408245
39,1904-04-16,0.24443564,0.6856981,0.094073735,0.36678195
40,1904-05-16,-0.03974273,0.49852592,0.38100633,0.02125523
41,1904-06-16,-0.9706254,0.5233895,0.39761668,0.08190321
42,1904-07-16,-1.0001616,-0.5379698,-0.07074321,-0.41069824
43,1904-08-16,-0.95715004,-0.8647953,-0.3729213,-0.41811994
44,1904-09-16,-0.9209771,-1.231683,-0.37800995,-0.40178105
45,1904-10-16,-0.6596366,-1.1074699,-0.7720874,-0.37902123
46,1904-11-16,0.58141863,-0.70193845,-0.74110514,-0.31714502
47,1904-12-16,-0.114360765,-0.8499691,-1.1336396,-0.401238
48,1905-01-16,1.0203611,0.2925837,-0.27108052,-0.2733123
49,1905-02-15,1.4628918,1.4374996,0.3450515,0.17808765
50,1905-03-16,1.8070167,1.6592052,0.5888407,0.28406557
51,1905-04-16,1.4899149,1.6528836,1.0281032,0.46665847
52,1905-05-16,0.5418037,1.3269715,1.2954931,0.41326642
53,1905-06-16,-0.42299342,1.416142,1.239398,0.3774672
54,1905-07-16,-1.2352858,0.38959652,0.7284848,0.37012783
55,1905-08-16,-1.1041783,-0.52397656,0.3068887,0.3298774
56,1905-09-16,-0.9820143,-1.0455288,0.43474102,0.342014
57,1905-10-16,-0.897907,-1.3586376,-0.04752278,0.31031275
58,1905-11-16,-0.8305862,-1.2209662,-0.6358688,0.1885697
