,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.29229748,,,
3,1901-04-16,-0.63926274,,,
4,1901-05-16,-0.87107867,,,
5,1901-06-16,-1.3908917,-0.7141648,,
6,1901-07-16,-1.3846638,-1.4932642,,
7,1901-08-16,-1.3827231,-1.5144683,,
8,1901-09-16,-1.2869898,-1.5220445,-1.389602,
9,1901-10-16,-1.0317116,-1.4844536,-1.550428,
10,1901-11-16,-0.66621405,-1.4182545,-1.5432625,
11,1901-12-16,0.04425431,-1.2474431,-1.4650301,-1.3481834
12,1902-01-16,-0.52872634,-1.1212047,-1.5039347,-1.5738693
13,1902-02-15,-1.1792142,-1.1804181,-1.550324,-1.6473045
14,1902-03-16,-1.9777575,-1.4918896,-1.6227831,-1.7708342
15,1902-04-16,-1.5738906,-1.5493551,-1.6425296,-1.7724257
16,1902-05-16,-1.3286413,-1.4763,-1.4930247,-1.7240342
17,1902-06-16,-0.46703452,-1.421965,-1.2598591,-1.5645083
18,1902-07-16,-0.61527884,-1.278983,-1.3264188,-1.6742042
19,1902-08-16,0.18668568,-0.17483924,-0.42329487,-0.5874992
20,1902-09-16,0.24711041,0.13871123,-0.27329355,-0.31519318
21,1902-10-16,1.0166724,0.22398047,-0.19997488,-0.31149068
22,1902-11-16,0.5973107,0.23683648,-0.079130806,-0.30824062
23,1902-12-16,-0.19357298,0.19439459,0.08614798,-0.30755338
24,1903-01-16,-0.42092508,0.85810703,0.1439623,-0.26434985
25,1903-02-15,-0.6314108,-0.014906123,0.10506212,-0.2000799
26,1903-03-16,1.2952319,0.91385984,0.45529118,0.34270954
27,1903-04-16,1.3658242,0.8784284,1.1624749,0.42037073
28,1903-05-16,1.6633492,0.88097167,0.8018758,0.44534105
29,1903-06-16,-0.47934994,0.61473405,0.35040292,0.3177054
30,1903-07-16,1.2923628,1.4967797,1.3661723,1.5095663
31,1903-08-16,0.7188194,1.0103536,0.87051994,0.8702094
32,1903-09-16,0.68173397,0.5745439,0.7748082,0.70697033
33,1903-10-16,-0.80209374,0.56928486,0.80873215,0.70861554
34,1903-11-16,-0.13084462,0.577581,0.865624,0.731779
35,1903-12-16,0.09489731,0.65064204,0.5423248,0.7417315
36,1904-01-16,1.6208296,-0.11580939,0.8244674,1.0361246
37,1904-02-15,1.510128,0.794714,0.8326682,1.0859253
38,1904-03-16,2.068243,1.8267959,1.1107199,1.0020021
39,1904-04-16,0.95120126,1.594128,0.1831192,0.9489977
40,1904-05-16,0.925907,1.5345634,0.9563493,0.9359751
41,1904-06-16,-0.52859116,1.50454,1.2435074,0.9813625
42,1904-07-16,-1.082844,-0.55892813,-0.057432227,-0.6081387
43,1904-08-16,-1.4667141,-1.1150494,-0.7142964,-0.76641536
44,1904-09-16,-1.4773905,-1.5183171,-0.77096987,-0.78930223
45,1904-10-16,-1.3494173,-1.4806089,-1.137778,-0.7864823
46,1904-11-16,-0.56722105,-1.473012,-1.169494,-0.8087865
47,1904-12-16,-0.4272616,-1.4947125,-1.5221852,-0.8125662
48,1905-01-16,0.01684358,-1.2385097,-1.4239415,-1.1126443
49,1905-02-15,1.6101782,0.7141595,-0.9729766,-0.7323439
50,1905-03-16,1.7756637,1.3532037,-0.9010521,-0.9624325
51,1905-04-16,2.1119385,1.7421876,-0.042282853,-0.6914476
52,1905-05-16,0.8890252,1.6037737,0.8707045,-0.7454178
53,1905-06-16,0.4121622,1.5785581,1.1628014,-0.7921191
54,1905-07-16,-0.9826953,0.16836604,0.09467592,-0.7300767
55,1905-08-16,-1.3284569,-1.0078274,-0.57175493,-0.709995
56,1905-09-16,-1.2803195,-1.1421604,-0.5770318,-0.66509223
57,1905-10-16,-1.3162117,-1.4115077,-0.6294831,-0.6592998
58,1905-11-16,-0.6806652,-1.3737818,-1.0913796,-0.6967283
