,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-0.33835575,,,
3,1901-04-16,-0.4026815,,,
4,1901-05-16,-0.4096721,,,
5,1901-06-16,-0.22543032,-0.39873216,,
6,1901-07-16,0.3988115,0.021861361,,
7,1901-08-16,-0.2341103,-0.43519938,,
8,1901-09-16,-0.3756692,-0.4593163,-0.55807686,
9,1901-10-16,-1.0082377,-0.3780465,-0.5518998,
10,1901-11-16,-0.6031345,-0.5004492,-0.633354,
11,1901-12-16,-0.67006296,-0.57419235,-0.60732836,-0.678624
12,1902-01-16,-1.3871975,-1.4924992,-0.8872037,-0.95860624
13,1902-02-15,-1.7841574,-1.7839127,-1.2950854,-1.2533768
14,1902-03-16,-2.1054654,-1.8901025,-1.4457006,-1.3778217
15,1902-04-16,-0.973636,-1.4694762,-1.6017493,-1.1448575
16,1902-05-16,0.20341106,-0.99400765,-1.1358699,-0.9521357
17,1902-06-16,0.7357084,-0.74530804,-0.8865386,-0.8372653
18,1902-07-16,0.2587942,-0.3410083,-0.8704809,-1.2331796
19,1902-08-16,-0.4650426,-0.36659172,-1.0665402,-1.1937066
20,1902-09-16,-0.75183433,-0.15418325,-1.0064471,-1.1260729
21,1902-10-16,-0.8418299,-0.35983607,-0.72231853,-1.1318945
22,1902-11-16,0.063270874,-0.45049807,-0.35988685,-0.9866134
23,1902-12-16,-0.6249998,-0.8885543,-0.32314196,-1.111937
24,1903-01-16,-0.3429146,-0.87844384,-0.4692571,-0.7902867
25,1903-02-15,-0.972022,-0.6937594,-0.8081066,-0.66372895
26,1903-03-16,-0.28687993,-0.56583244,-0.89251107,-0.4016131
27,1903-04-16,-0.8112606,-0.85421735,-1.1326149,-0.747844
28,1903-05-16,-0.42926016,-0.9285965,-0.80541575,-0.8885995
29,1903-06-16,-0.9896629,-0.9206664,-1.1034663,-1.2237935
30,1903-07-16,0.5119705,-0.02129886,-0.1641082,-0.6047045
31,1903-08-16,0.5470313,0.22442897,-0.09757463,-0.11075698
32,1903-09-16,0.9817185,0.26265833,0.15542868,-0.013135198
33,1903-10-16,0.22134715,0.43197542,0.06748531,-0.06049769
34,1903-11-16,-0.2103995,0.38282022,0.1070098,-0.19290587
35,1903-12-16,-0.54915094,0.6958187,0.08134827,-0.0030868663
36,1904-01-16,0.001628835,0.16711576,0.42073116,0.055880208
37,1904-02-15,-0.44763082,-0.47365713,0.22609471,-0.03809571
38,1904-03-16,0.5445026,0.19056943,0.8920061,0.3455831
39,1904-04-16,0.15778087,0.05162861,0.15451668,0.3950392
40,1904-05-16,0.7920147,0.38958907,0.21461533,0.5120919
41,1904-06-16,-0.31020385,0.2409605,0.018975042,0.64147556
42,1904-07-16,0.09618402,0.1683452,0.15956049,0.21834518
43,1904-08-16,-0.08195172,0.33607134,0.18606696,0.09139778
44,1904-09-16,-0.19203734,-0.37053907,-0.0037178658,-0.16646324
45,1904-10-16,-0.19704302,-0.10230219,-0.020975279,-0.04272708
46,1904-11-16,0.11177919,-0.07219371,0.29384515,0.14079976
47,1904-12-16,0.73545825,0.08123271,-0.14755784,0.15863167
48,1905-01-16,0.77463466,0.1777097,0.17263468,0.19125083
49,1905-02-15,0.42051092,0.33517334,0.092081115,0.39320764
50,1905-03-16,0.12564208,0.4835775,0.10547449,-0.077430874
51,1905-04-16,-0.7905753,-0.18832593,-0.35417816,-0.20606078
52,1905-05-16,-1.0806814,-0.56080127,-0.49962336,-0.3942993
53,1905-06-16,-1.3029529,-0.82669383,-0.45299938,-0.4685226
54,1905-07-16,-1.0090253,-1.2911166,-0.86285454,-0.8608307
55,1905-08-16,-0.9406297,-1.3519516,-1.0929725,-1.0122724
56,1905-09-16,-0.35102287,-0.9881214,-0.80367625,-0.5974826
57,1905-10-16,-0.024487682,-0.77091694,-1.0256169,-0.7440519
