,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.05972171,,,
3,1901-04-16,-0.6319518,,,
4,1901-05-16,1.3789082,,,
5,1901-06-16,1.6556563,1.2547657,,
6,1901-07-16,1.3888764,0.563256,,
7,1901-08-16,-1.5178895,-0.09733436,,
8,1901-09-16,-1.2647545,-0.02495227,-0.03700611,
9,1901-10-16,-1.0572575,0.2545725,-0.14000198,
10,1901-11-16,-0.06612927,-1.3148615,-0.1671501,
11,1901-12-16,-1.5387172,-1.5383024,-0.35146636,-0.3286882
12,1902-01-16,-2.3551993,-1.8916767,-0.43223122,-0.68286407
13,1902-02-15,-2.2005744,-1.9328918,-2.0692573,-0.9536674
14,1902-03-16,-2.3813844,-2.3147588,-2.2014246,-1.2129706
15,1902-04-16,-1.7905316,-2.168868,-2.1274066,-1.205321
16,1902-05-16,-1.5657834,-2.153256,-1.9913952,-2.0934615
17,1902-06-16,-0.95832455,-2.0207553,-2.1484447,-2.0676029
18,1902-07-16,-0.91388255,-1.8621478,-2.1467109,-2.0936852
19,1902-08-16,-1.2972097,-1.9125348,-2.356133,-2.179862
20,1902-09-16,-1.4398725,-1.5410368,-2.2106278,-2.3025253
21,1902-10-16,-1.4333056,-1.3775551,-2.0208185,-2.254156
22,1902-11-16,-0.43730327,-1.2696836,-1.7728918,-2.1993551
23,1902-12-16,-0.7690231,-1.5412467,-1.6218874,-2.2655625
24,1903-01-16,-0.7063661,-1.5339112,-1.4827349,-2.070678
25,1903-02-15,-1.4046488,-1.4309055,-1.7056506,-2.0966887
26,1903-03-16,-0.18355593,-0.5336543,-1.3901964,-1.5350413
27,1903-04-16,-0.5836082,-0.8144797,-1.3056618,-1.4140369
28,1903-05-16,0.7243781,-0.15506749,-0.30028993,-0.9282967
29,1903-06-16,0.074979305,-0.15507692,-0.36705983,-1.1176343
30,1903-07-16,0.09527537,-0.4027974,-0.5981512,-1.1017883
31,1903-08-16,-0.8830297,-0.21988422,-0.7474685,-0.8271061
32,1903-09-16,-0.37201884,-0.3377123,-0.426384,-0.5787614
33,1903-10-16,-0.35074398,-0.26820138,-0.5423795,-0.70614207
34,1903-11-16,0.03381861,-0.78566885,-0.2455239,-0.70549464
35,1903-12-16,-0.42724037,-0.5538045,-0.45205063,-0.51604
36,1904-01-16,1.3176646,0.30706096,0.17095214,-0.15977839
37,1904-02-15,0.16089198,0.11814748,-0.6735537,-0.18287334
38,1904-03-16,1.780076,1.343531,0.55982417,0.4680322
39,1904-04-16,0.5696554,1.0134513,0.48316526,0.4075321
40,1904-05-16,0.9487549,0.8243245,0.6974962,-0.018219125
41,1904-06-16,-1.2836264,0.53450227,0.31652984,-0.059356738
42,1904-07-16,-1.2554195,-0.42924213,0.057364218,-0.19298586
43,1904-08-16,-1.1084571,-0.20709816,-0.16626228,-0.18878144
44,1904-09-16,-0.6833687,-1.1801498,-0.1853005,-0.29908714
45,1904-10-16,-0.22647539,-0.9647504,-0.50598985,-0.14268103
46,1904-11-16,0.26385266,-0.8793553,-0.16867666,-0.13046482
47,1904-12-16,-0.35289118,-0.8104538,-1.2200106,-0.27554125
48,1905-01-16,-0.07654024,-0.32292503,-0.96997356,-0.5297667
49,1905-02-15,0.4061148,0.4418081,-0.657794,-0.025073715
50,1905-03-16,1.3170325,0.9067935,0.012116026,-0.53870404
51,1905-04-16,0.35802713,0.2033542,-0.039216444,-0.5758509
52,1905-05-16,0.48072445,0.53066087,0.5194607,-0.26878458
53,1905-06-16,-0.71160954,0.42857718,0.24762522,-0.2923382
54,1905-07-16,-1.1357162,-0.50796825,-0.5167428,-0.57652754
55,1905-08-16,-2.1835413,-1.3097315,-1.0643802,-0.94126093
56,1905-09-16,-0.9830418,-1.1354549,-0.4604565,-0.53910434
57,1905-10-16,-0.46264452,-1.0214226,-0.6677928,-0.68823326
