,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.8006861,,,
3,1901-04-16,0.0013049002,,,
4,1901-05-16,0.22299612,,,
5,1901-06-16,-0.31915495,0.2823615,,
6,1901-07-16,0.22087441,0.18445839,,
7,1901-08-16,-0.35492077,-0.32083368,,
8,1901-09-16,-0.64372426,-0.7143767,-0.47092566,
9,1901-10-16,-1.2063764,-0.7495942,-0.72798353,
10,1901-11-16,-1.386773,-0.9181101,-0.85296965,
11,1901-12-16,-1.6106342,-0.8458488,-0.8950143,-0.6689155
12,1902-01-16,-2.1016755,-1.5411626,-1.0556864,-1.0267282
13,1902-02-15,-2.0297441,-2.255018,-1.3301157,-1.2723314
14,1902-03-16,-1.977787,-2.1586704,-1.3034798,-1.3275778
15,1902-04-16,-1.1853662,-1.839961,-1.7149172,-1.2820398
16,1902-05-16,-0.45325196,-1.5956024,-1.8538364,-1.3317369
17,1902-06-16,0.05165654,-1.4663347,-1.7989019,-1.2224101
18,1902-07-16,-0.73115367,-1.2603134,-1.66299,-1.8250422
19,1902-08-16,-1.1297034,-1.2557304,-1.7098442,-1.9869009
20,1902-09-16,-1.0216907,-0.96162176,-1.4572158,-1.6353742
21,1902-10-16,-0.7272305,-0.96337724,-1.2654029,-1.5500416
22,1902-11-16,0.1389172,-1.0023513,-1.1132909,-1.5147308
23,1902-12-16,-0.803396,-1.0984159,-1.038946,-1.4993764
24,1903-01-16,-0.5914264,-0.85714525,-1.0483937,-1.3199245
25,1903-02-15,-0.9861701,-0.41740108,-1.1928748,-1.2909298
26,1903-03-16,-0.22776861,-0.57289624,-1.13383,-1.0834464
27,1903-04-16,-0.3369045,-0.6291955,-0.9174203,-1.0882679
28,1903-05-16,0.35240808,-0.39835036,-0.25778285,-1.0476612
29,1903-06-16,-0.8572376,-0.8884658,-1.098832,-1.2490052
30,1903-07-16,-0.04795888,-0.23076518,-0.39535844,-0.7722896
31,1903-08-16,0.034521062,0.09623178,-0.15751944,-0.12712876
32,1903-09-16,0.4633082,0.173384,0.09686568,-0.027241906
33,1903-10-16,0.3138777,0.16083518,0.06479997,-0.06281377
34,1903-11-16,0.37991294,0.09933281,0.17730384,-0.060693514
35,1903-12-16,-0.12507178,0.39649382,0.122051716,0.048955858
36,1904-01-16,0.61583364,0.39006782,0.24119265,0.14105166
37,1904-02-15,-0.18380499,0.17832051,0.028972676,0.11048353
38,1904-03-16,1.3089299,1.0770501,0.7856719,0.49936017
39,1904-04-16,0.80831456,0.8948129,0.60326695,0.41871297
40,1904-05-16,1.1847302,0.80913347,0.64540714,0.33333153
41,1904-06-16,-0.93944734,0.389379,0.26797196,0.46277094
42,1904-07-16,-1.2157873,-0.81039023,-0.6306821,-0.23145717
43,1904-08-16,-1.0468111,-0.6025393,-0.6490903,-0.46576485
44,1904-09-16,-1.0907315,-1.2643611,-0.8557939,-0.89214617
45,1904-10-16,-0.6065931,-1.1725701,-0.9179402,-0.83070755
46,1904-11-16,-0.3461955,-1.1120745,-0.7240518,-0.7724125
47,1904-12-16,0.33507934,-1.0237448,-1.1953677,-0.80621237
48,1905-01-16,1.2230887,-0.2840836,-0.93678457,-0.67520523
49,1905-02-15,1.3467728,0.37615752,-0.7821738,-0.39039645
50,1905-03-16,1.3814312,1.2859915,-0.5703315,-0.7794793
51,1905-04-16,0.703748,1.1383982,-0.04473268,-0.72923374
52,1905-05-16,-0.104177356,0.7301443,0.1506771,-0.78827983
53,1905-06-16,-1.3626399,0.20080222,0.23913454,-0.8574304
54,1905-07-16,-1.5451049,-1.2016653,-0.7992592,-0.9635325
55,1905-08-16,-1.9092256,-1.882505,-1.5281463,-1.5256187
56,1905-09-16,-0.8807152,-1.1784809,-0.7259682,-0.7022517
57,1905-10-16,-0.30912182,-1.1888884,-0.96464556,-0.73941755
