,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.38126707,,,
3,1901-04-16,-0.27151063,,,
4,1901-05-16,-0.3437822,,,
5,1901-06-16,-0.919915,-0.29780367,,
6,1901-07-16,0.6766448,0.42930016,,
7,1901-08-16,0.26326272,0.061252926,,
8,1901-09-16,0.32829836,0.059616152,0.08879945,
9,1901-10-16,-0.93019485,0.060629178,-0.107993774,
10,1901-11-16,-0.7068322,0.06725917,-0.10345152,
11,1901-12-16,-0.3953334,0.23029597,-0.021995993,0.016111286
12,1902-01-16,-0.94292945,-1.1615403,-0.10611519,-0.24625559
13,1902-02-15,-1.1923267,-1.2868202,-0.23347318,-0.36294517
14,1902-03-16,-1.4998223,-1.3885947,-0.28586748,-0.5007949
15,1902-04-16,-1.2698336,-1.4106351,-1.5584745,-0.56426245
16,1902-05-16,-0.8273339,-1.1885072,-1.2787017,-0.4866207
17,1902-06-16,0.065652706,-1.0499774,-1.0665206,-0.2782579
18,1902-07-16,-0.5107971,-1.1281538,-1.2542895,-1.55329
19,1902-08-16,-0.47637367,-0.805216,-1.0495378,-1.1569804
20,1902-09-16,-0.60185003,-0.5721345,-1.0499462,-1.0741601
21,1902-10-16,0.10006731,-0.44492617,-0.91802645,-1.03488
22,1902-11-16,0.25601968,-0.4351028,-0.7333426,-0.9663248
23,1902-12-16,0.079753004,-0.5629177,-0.5377006,-0.9919912
24,1903-01-16,-0.18361783,-0.05073653,-0.46728048,-0.9068062
25,1903-02-15,-0.48116326,-0.33691588,-0.5531753,-0.8048682
26,1903-03-16,0.6995921,0.53969646,-0.31149116,-0.3003035
27,1903-04-16,0.9733763,0.6942722,0.3594965,-0.12924802
28,1903-05-16,1.4132539,0.7676082,0.6478078,-0.06985919
29,1903-06-16,0.08848911,0.48014352,0.36749116,-0.2962557
30,1903-07-16,0.50929976,0.7047231,0.62050706,0.4686395
31,1903-08-16,-0.07751758,0.3469173,0.17877828,0.16777156
32,1903-09-16,-0.007167826,-0.023825914,0.11154171,0.0940117
33,1903-10-16,-0.99479526,-0.13372062,0.12777044,0.07125864
34,1903-11-16,-0.33401677,-0.2031069,0.22485489,0.068416454
35,1903-12-16,0.14549313,-0.0076902905,-0.020654932,0.11006092
36,1904-01-16,1.7418419,-0.0011866888,0.25341976,0.45152268
37,1904-02-15,1.375761,0.7881222,0.1639916,0.51686114
38,1904-03-16,1.6479789,1.54659,0.51003474,0.48760357
39,1904-04-16,0.5402169,1.3116955,0.18064998,0.3383089
40,1904-05-16,0.32525137,0.9914728,0.6445312,0.18355246
41,1904-06-16,-0.97186,0.82040673,0.7219901,0.26108924
42,1904-07-16,-0.9748642,-0.52490854,-0.0150932865,-0.5016126
43,1904-08-16,-1.1128781,-0.8734272,-0.42194375,-0.5089919
44,1904-09-16,-1.0868816,-1.3186814,-0.50204957,-0.48126295
45,1904-10-16,-0.86643314,-1.211963,-0.86312836,-0.45081285
46,1904-11-16,-0.12228481,-1.0642173,-0.8691557,-0.4603442
47,1904-12-16,-0.18824096,-1.0494009,-1.2602868,-0.5194716
48,1905-01-16,1.0855519,-0.28218797,-0.8630541,-0.6175143
49,1905-02-15,1.8499684,1.342625,-0.33830538,-0.25980258
50,1905-03-16,2.047675,1.8835133,-0.06251253,-0.29632476
51,1905-04-16,1.8322188,2.0240111,0.71030235,-0.0812946
52,1905-05-16,0.62541103,1.58573,1.2703229,-0.15731834
53,1905-06-16,-0.40769553,1.4809151,1.2740268,-0.17653137
54,1905-07-16,-1.2454995,0.043999027,0.25537443,-0.20210595
55,1905-08-16,-1.2394013,-0.8434159,-0.21551134,-0.2731365
56,1905-09-16,-1.1611351,-1.2029814,-0.2176012,-0.25931254
57,1905-10-16,-1.0062505,-1.4464269,-0.47301283,-0.27181956
