,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.33416897,,,
3,1901-04-16,0.061705492,,,
4,1901-05-16,-0.2286804,,,
5,1901-06-16,-0.44853306,-0.008352732,,
6,1901-07-16,0.00053766964,0.021087445,,
7,1901-08-16,0.051089752,-0.16989462,,
8,1901-09-16,0.28777733,-0.05919074,0.07562477,
9,1901-10-16,0.15035988,0.026858008,0.008753836,
10,1901-11-16,0.00739696,0.06718321,-0.13465533,
11,1901-12-16,-0.050073933,0.13906726,-0.0878754,0.031181838
12,1902-01-16,-0.24911126,-0.19775257,-0.15488836,-0.1301963
13,1902-02-15,-0.25154576,-0.26180735,-0.13204643,-0.23418696
14,1902-03-16,-0.37703806,-0.39452225,-0.17981698,-0.31999296
15,1902-04-16,-0.3903233,-0.46249238,-0.4448232,-0.3577787
16,1902-05-16,-0.44743165,-0.4690989,-0.45699257,-0.32793796
17,1902-06-16,-0.18538697,-0.4064954,-0.42181152,-0.2227855
18,1902-07-16,0.00042455047,-0.3512894,-0.44646883,-0.42070165
19,1902-08-16,0.046678267,-0.3730457,-0.45838872,-0.4449045
20,1902-09-16,-0.0020192116,-0.18489209,-0.42342204,-0.45232192
21,1902-10-16,-0.115543045,-0.10242007,-0.37262368,-0.4718636
22,1902-11-16,-0.030778712,-0.02695188,-0.35118508,-0.44885644
23,1902-12-16,0.12435112,-0.037980698,-0.14377378,-0.35785946
24,1903-01-16,0.117129564,0.003137344,-0.05595132,-0.28163448
25,1903-02-15,0.21639791,0.14857349,0.09064497,-0.16487345
26,1903-03-16,0.41349977,0.28723398,0.1547654,0.044798646
27,1903-04-16,0.6017584,0.41097373,0.28550863,0.21229307
28,1903-05-16,0.5533814,0.41210303,0.34620526,0.27241868
29,1903-06-16,0.24708612,0.36428142,0.26915374,0.17874673
30,1903-07-16,0.01044485,0.39624602,0.30088156,0.2117674
31,1903-08-16,-0.08671663,0.24489239,0.2287981,0.17797215
32,1903-09-16,-0.027352784,0.044625543,0.19846618,0.13181578
33,1903-10-16,-0.23778883,-0.14414605,0.22419548,0.15712585
34,1903-11-16,0.17241457,-0.025787259,0.25481042,0.23405747
35,1903-12-16,0.43317646,0.13413516,0.16940682,0.2702611
36,1904-01-16,0.38925165,0.15060812,0.07227568,0.30582574
37,1904-02-15,0.20816286,0.20963363,0.063290164,0.27399668
38,1904-03-16,0.24288753,0.3137049,0.16851911,0.19901982
39,1904-04-16,0.048715305,0.21193936,0.051274735,0.04274834
40,1904-05-16,0.02232179,0.08832942,0.088106565,0.024540374
41,1904-06-16,-0.16830908,0.06041317,0.13512175,0.07553647
42,1904-07-16,0.16761546,0.05889541,0.16615954,0.053670667
43,1904-08-16,0.28111982,0.10070844,0.08774693,0.08922813
44,1904-09-16,0.26096424,0.04120878,0.064975366,0.12050979
45,1904-10-16,0.12253954,0.12815328,0.04338435,0.12258484
46,1904-11-16,0.016912052,0.18846461,0.07804091,0.0710616
47,1904-12-16,0.07171518,0.12740663,0.0037626387,0.04648925
48,1905-01-16,0.33916003,0.24546361,0.1927732,0.12496586
49,1905-02-15,0.6366452,0.5716342,0.47244486,0.36192137
50,1905-03-16,0.95561445,0.74534404,0.61614907,0.46745282
51,1905-04-16,0.99223185,0.8214978,0.7165495,0.61636513
52,1905-05-16,0.53840166,0.69070554,0.63091075,0.5682415
53,1905-06-16,0.19454375,0.7838472,0.62287086,0.5537986
54,1905-07-16,-0.077478826,0.6089361,0.55609906,0.49782333
55,1905-08-16,0.012251681,0.28869006,0.47185332,0.42274752
56,1905-09-16,-0.03437905,0.014642644,0.50760615,0.39724684
57,1905-10-16,-0.4057873,-0.29203898,0.35683635,0.3460889
58,1905-11-16,-0.6546962,-0.25736874,0.0835454,0.30634952
59,1905-12-16,-0.1713759,-0.20725968,-0.12035129,0.33405966
