,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-1.4502634,,,
3,1901-04-16,-1.6196877,,,
4,1901-05-16,0.10159726,,,
5,1901-06-16,1.2562573,-0.16411215,,
6,1901-07-16,1.5981125,-0.14392038,,
7,1901-08-16,0.01852373,0.006417369,,
8,1901-09-16,-1.1618105,0.41384363,-0.5885425,
9,1901-10-16,-1.0633253,0.87802005,-0.4781076,
10,1901-11-16,-0.90548134,-0.6114486,-0.37115586,
11,1901-12-16,-1.4872093,-1.8381139,-0.3686887,-1.0787832
12,1902-01-16,-1.8351942,-2.1309721,-0.4092164,-1.2890698
13,1902-02-15,-1.9086066,-2.0364625,-1.8709089,-1.3376316
14,1902-03-16,-1.8588563,-2.070277,-2.328584,-1.3496513
15,1902-04-16,-1.6604413,-2.0776978,-2.272534,-1.2756816
16,1902-05-16,-1.4532514,-2.011256,-2.1548386,-1.9833561
17,1902-06-16,-1.1186672,-1.9040256,-2.0710776,-2.282748
18,1902-07-16,-0.9639311,-1.7850065,-2.1072888,-2.2422874
19,1902-08-16,-1.0887116,-1.7797505,-2.1725848,-2.269255
20,1902-09-16,-1.5820504,-1.6651635,-2.2076151,-2.2791705
21,1902-10-16,-1.0462208,-1.2781568,-2.008341,-2.2250128
22,1902-11-16,1.2439171,0.29645023,-0.8840712,-1.6206203
23,1902-12-16,1.2543136,0.30340078,-0.5028438,-1.4839716
24,1903-01-16,1.2052438,0.5589755,-0.046674315,-1.0768291
25,1903-02-15,-0.22057372,0.55896413,0.002245302,-0.87464714
26,1903-03-16,-0.046926696,0.76002616,0.15329878,-0.4271945
27,1903-04-16,-0.4907941,0.40937027,0.052439515,-0.31384513
28,1903-05-16,0.5456841,0.18538326,0.68503743,0.264931
29,1903-06-16,0.88877314,0.51027656,0.9674944,0.4898757
30,1903-07-16,1.4461007,0.5580709,0.9855481,0.65166587
31,1903-08-16,0.90384096,0.83816606,0.48695755,0.8756173
32,1903-09-16,0.7676719,1.0190116,0.70210314,1.0732418
33,1903-10-16,0.041821223,1.1580139,0.50592184,0.89832044
34,1903-11-16,-0.78885156,0.20472127,0.46812928,0.23247106
35,1903-12-16,-1.5759689,-0.7322398,0.12745437,0.047566276
36,1904-01-16,-0.19854824,-0.24649574,0.7569914,0.2774615
37,1904-02-15,-0.8168826,-1.1209487,-0.47367868,-0.07777762
38,1904-03-16,-0.09254048,-0.88734126,-0.55600715,0.016985377
39,1904-04-16,-0.98072237,-0.85117865,-0.81449145,-0.012038879
40,1904-05-16,-0.24180205,-0.66347736,-0.8705426,-0.48537183
41,1904-06-16,-1.1549423,-0.72616434,-1.188649,-0.899149
42,1904-07-16,-0.9568798,-1.2337899,-1.0909489,-1.0438817
43,1904-08-16,-0.91150814,-0.7159986,-0.94665647,-1.1086854
44,1904-09-16,0.55660516,-0.61617583,-0.4911026,-0.980591
45,1904-10-16,1.0582749,-0.14132272,-0.73195314,-0.743316
46,1904-11-16,1.4600977,0.4183677,0.03715612,-0.38880026
47,1904-12-16,0.5434302,0.62821174,-0.2766268,-0.27186677
48,1905-01-16,0.79407066,1.1236532,0.37749648,-0.30844364
49,1905-02-15,-0.19445913,0.6930294,0.11605048,-0.13840458
50,1905-03-16,0.003449763,0.24908678,0.37835982,-0.22716904
51,1905-04-16,-1.0731868,-0.34220394,0.04687625,-0.3456831
52,1905-05-16,-0.3767036,-0.4083046,0.20305623,-0.15262754
53,1905-06-16,-0.38854167,-0.24059272,-0.008349467,0.12977983
54,1905-07-16,-0.00656021,-0.83965045,-0.3225378,-0.0013481792
55,1905-08-16,-0.497898,-0.66522926,-0.6391211,-0.10002795
56,1905-09-16,-0.59917307,-0.6488352,-0.4769876,-0.26380348
57,1905-10-16,-0.6571247,-0.35912284,-0.96323276,-0.47758603
