,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-0.534557,,,
3,1901-04-16,-0.85251534,,,
4,1901-05-16,0.7505667,,,
5,1901-06-16,1.4062173,0.42782748,,
6,1901-07-16,0.7701404,0.080616966,,
7,1901-08-16,-1.1279411,-0.6358244,,
8,1901-09-16,-1.1855246,-0.47310233,-0.66047484,
9,1901-10-16,-1.4852548,-0.39305526,-0.74371594,
10,1901-11-16,-0.5267259,-1.2229102,-0.7636554,
11,1901-12-16,-1.8244941,-1.5728145,-0.8883189,-1.0192616
12,1902-01-16,-2.3414657,-2.2856326,-1.2655797,-1.4793324
13,1902-02-15,-2.3649356,-2.4568672,-2.3600767,-1.788213
14,1902-03-16,-2.3055606,-2.428862,-2.3449852,-1.8182074
15,1902-04-16,-1.7320504,-2.3689804,-2.4223428,-1.7684703
16,1902-05-16,-1.1819334,-2.2755377,-2.386599,-2.216355
17,1902-06-16,-0.3242713,-1.9873602,-2.2161112,-2.2012787
18,1902-07-16,-0.3444394,-1.4780488,-2.0687706,-2.2041273
19,1902-08-16,-0.9821489,-1.4751768,-2.3732443,-2.4065752
20,1902-09-16,-1.4422302,-1.3775178,-2.2707014,-2.439649
21,1902-10-16,-1.6067741,-1.215913,-1.916245,-2.350295
22,1902-11-16,-0.51331437,-1.0876735,-1.4693402,-2.2502804
23,1902-12-16,-0.52382857,-1.5050976,-1.4639072,-2.3397765
24,1903-01-16,-0.26721522,-1.428296,-1.2582872,-1.880902
25,1903-02-15,-1.2090855,-1.3725638,-1.581088,-1.8242095
26,1903-03-16,-0.38244957,-0.6174322,-1.4377856,-1.4338577
27,1903-04-16,-0.82787895,-0.8210185,-1.4739212,-1.3740413
28,1903-05-16,0.43135482,-0.5735418,-0.7340844,-1.1262774
29,1903-06-16,-0.41600564,-0.54490197,-0.678723,-1.3861454
30,1903-07-16,0.65275294,-0.008035269,-0.17172173,-0.9374672
31,1903-08-16,0.1023096,0.2532979,-0.3196242,-0.44684473
32,1903-09-16,0.46636903,0.23635952,0.036719013,-0.1482467
33,1903-10-16,-0.13468876,0.27210385,-0.13235778,-0.2687456
34,1903-11-16,-0.09996077,0.03952223,0.15824443,-0.36054483
35,1903-12-16,-0.82698715,0.15488824,-0.015998624,-0.17494702
36,1904-01-16,1.0836673,0.41221875,0.6454538,0.22096977
37,1904-02-15,-0.05615395,-0.12143874,-0.0004106108,0.104770355
38,1904-03-16,1.2335002,0.62802255,0.67222345,0.5086131
39,1904-04-16,-0.23682562,0.4401645,0.14573696,0.43997276
40,1904-05-16,0.85064614,0.5033531,0.42694074,0.27675724
41,1904-06-16,-1.4779546,0.2194598,-0.12680723,0.22360998
42,1904-07-16,-0.8190017,-0.76253575,-0.20734231,-0.32157066
43,1904-08-16,-0.6423814,-0.1653972,-0.19047973,-0.22077054
44,1904-09-16,-0.32914072,-0.8711196,-0.15663217,-0.39091045
45,1904-10-16,0.101152614,-0.51594955,-0.5514562,-0.17862439
46,1904-11-16,0.6092166,-0.40537426,-0.027244559,-0.06357053
47,1904-12-16,0.404988,-0.25426894,-0.749907,-0.0866239
48,1905-01-16,0.55456614,0.27516913,-0.30190417,-0.37297153
49,1905-02-15,0.1002246,0.41649944,-0.33995545,-0.008018279
50,1905-03-16,0.45794222,0.4489434,-0.037455536,-0.4722349
51,1905-04-16,-0.59382415,-0.18546243,-0.15037304,-0.50515115
52,1905-05-16,-0.2643326,-0.12531208,0.12243259,-0.4024378
53,1905-06-16,-1.1262431,-0.26759973,-0.11781288,-0.3334129
54,1905-07-16,-1.351211,-1.3774326,-0.9783768,-0.80551344
55,1905-08-16,-1.9310519,-1.8491045,-1.5316947,-1.3184794
56,1905-09-16,-1.0889454,-1.3622236,-0.99554557,-0.9031609
57,1905-10-16,-0.56660914,-1.2415485,-1.3558447,-1.1031568
