,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.7497312,,,
3,1901-04-16,0.17769805,,,
4,1901-05-16,-0.36636618,,,
5,1901-06-16,-1.370524,-0.7904468,,
6,1901-07-16,-1.508237,-1.4060129,,
7,1901-08-16,-1.4869207,-1.5224743,,
8,1901-09-16,-1.3473532,-1.5595835,-1.4786863,
9,1901-10-16,-1.0150115,-1.5665684,-1.5299574,
10,1901-11-16,-0.82215536,-1.5448511,-1.5848395,
11,1901-12-16,-0.48030287,-1.3673613,-1.5709982,-1.4909246
12,1902-01-16,-0.92588186,-1.0770129,-1.5938886,-1.5570639
13,1902-02-15,-1.2529287,-1.0569618,-1.6048298,-1.6432116
14,1902-03-16,-1.6507533,-1.396186,-1.532945,-1.7141683
15,1902-04-16,-1.438693,-1.4813448,-1.3509624,-1.7453482
16,1902-05-16,-1.0614623,-1.2923001,-1.2707304,-1.6975065
17,1902-06-16,-0.42391223,-1.1245079,-1.1534587,-1.5223544
18,1902-07-16,-1.1465567,-1.4757107,-1.5602095,-1.8539507
19,1902-08-16,-0.5029275,-0.6957734,-0.8213167,-1.0885656
20,1902-09-16,0.023360053,-0.09004798,-0.26952705,-0.33521155
21,1902-10-16,0.8736588,-0.057141755,-0.26034027,-0.3349215
22,1902-11-16,0.85943186,-0.068874255,-0.22176625,-0.3272126
23,1902-12-16,-0.19856858,-0.003630769,-0.11293023,-0.28720006
24,1903-01-16,0.1919663,0.85945183,-0.034935813,-0.23427999
25,1903-02-15,0.5720727,0.8444005,-0.022442495,-0.17127681
26,1903-03-16,1.6718427,0.9583931,0.18793882,0.07107231
27,1903-04-16,1.6309278,1.4359697,1.0514483,0.1796405
28,1903-05-16,1.499448,1.4547323,1.1279877,0.19586608
29,1903-06-16,-0.5734192,0.18933068,0.023396602,0.016022354
30,1903-07-16,0.9241254,1.1515362,1.1355608,1.2492532
31,1903-08-16,0.43020028,0.6594752,0.6816154,0.88770646
32,1903-09-16,0.4816959,0.3166568,0.46881253,0.43133163
33,1903-10-16,-0.4394154,0.25025833,0.45113733,0.44391653
34,1903-11-16,-0.082714066,0.25152302,0.4561743,0.4750809
35,1903-12-16,0.46338686,0.5028419,0.34130117,0.48887086
36,1904-01-16,1.2842056,-0.2706636,0.3461916,0.538601
37,1904-02-15,0.73671436,0.069443576,0.31660506,0.51609033
38,1904-03-16,1.2622045,1.0497369,0.6388537,0.4730778
39,1904-04-16,0.40164804,0.840624,-0.2007259,0.3837159
40,1904-05-16,0.2919208,0.47300407,0.0688842,0.34112957
41,1904-06-16,-0.8582986,-0.1764309,-0.09056253,0.41239908
42,1904-07-16,-0.99648315,-0.87007135,-0.7084622,-0.86748207
43,1904-08-16,-1.4439409,-1.3742142,-1.3186363,-1.3039008
44,1904-09-16,-1.3324059,-1.4581381,-1.3109199,-1.290453
45,1904-10-16,-1.2522899,-1.4372715,-1.3663919,-1.2886693
46,1904-11-16,-0.43566117,-1.4005712,-1.3505821,-1.3104197
47,1904-12-16,-0.2318258,-1.330047,-1.4510775,-1.3068372
48,1905-01-16,0.6100908,-1.1359121,-1.3713514,-1.3022202
49,1905-02-15,1.8420302,0.020011196,-1.2261914,-1.179454
50,1905-03-16,2.2251983,1.4117714,-1.037185,-1.1734173
51,1905-04-16,2.2293775,2.1291733,-0.52903605,-0.99171925
52,1905-05-16,1.0618628,1.5728213,0.27641776,-1.042114
53,1905-06-16,-0.4766892,0.5344662,0.33322123,-1.1013758
54,1905-07-16,-0.68568957,-0.055314627,-0.013887511,-0.92831266
55,1905-08-16,-1.1672018,-0.96345073,-0.80068153,-0.948687
56,1905-09-16,-1.0796673,-1.1510432,-0.8820662,-0.92634535
57,1905-10-16,-1.3525922,-1.3280458,-0.9516574,-0.9294988
