,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.069429696,,,
3,1901-04-16,-0.38760334,,,
4,1901-05-16,-0.22147767,,,
5,1901-06-16,-0.65590817,-0.5604597,,
6,1901-07-16,-0.35340756,-0.56118006,,
7,1901-08-16,-0.5464473,-0.64182496,,
8,1901-09-16,-0.5709913,-0.7922063,-0.773606,
9,1901-10-16,-0.9406755,-0.8473963,-0.9386253,
10,1901-11-16,-1.465375,-0.962771,-0.9897369,
11,1901-12-16,-1.4022912,-0.8251933,-0.9905754,-0.9618813
12,1902-01-16,-1.6573741,-1.3031192,-1.1177627,-1.1720378
13,1902-02-15,-1.6811943,-2.0534894,-1.3714569,-1.3629968
14,1902-03-16,-1.6756631,-1.8698101,-1.3436702,-1.4147567
15,1902-04-16,-1.3409137,-1.6872672,-1.639975,-1.4362681
16,1902-05-16,-1.0091482,-1.6003233,-1.7900949,-1.4780579
17,1902-06-16,-0.34777457,-1.4419823,-1.6456517,-1.2787048
18,1902-07-16,-0.9978912,-1.6435894,-1.8551832,-1.9137076
19,1902-08-16,-1.1625111,-1.4907861,-1.8582056,-2.0704901
20,1902-09-16,-1.1614835,-1.165262,-1.6485676,-1.8169575
21,1902-10-16,-0.59274,-1.0612125,-1.5024512,-1.7074025
22,1902-11-16,0.07959627,-1.0539862,-1.3469235,-1.6851007
23,1902-12-16,-0.47570705,-1.2160403,-1.214647,-1.6543493
24,1903-01-16,-0.6538515,-0.7782322,-1.1655972,-1.5652931
25,1903-02-15,-0.7448665,-0.50611025,-1.2405945,-1.4991587
26,1903-03-16,-0.22930685,-0.43014237,-1.2541648,-1.2560993
27,1903-04-16,-0.24837741,-0.4779193,-0.78447366,-1.125746
28,1903-05-16,0.11465457,-0.3552649,-0.3512025,-1.0538917
29,1903-06-16,-0.720307,-0.8151635,-0.9033494,-1.3079969
30,1903-07-16,-0.5036869,-0.6160067,-0.7566567,-0.94994533
31,1903-08-16,-0.4545827,-0.4173032,-0.62882715,-0.60365903
32,1903-09-16,-0.11883414,-0.44031188,-0.52665097,-0.61673075
33,1903-10-16,-0.1371517,-0.46978015,-0.537331,-0.65409946
34,1903-11-16,-0.018482383,-0.46492797,-0.41377425,-0.60076565
35,1903-12-16,0.2849262,-0.10620271,-0.4186226,-0.49548918
36,1904-01-16,0.79331225,0.03945429,-0.34845895,-0.40383157
37,1904-02-15,-0.092423424,-0.1636232,-0.52746147,-0.4555227
38,1904-03-16,1.2420224,1.1490481,0.4155388,0.045547012
39,1904-04-16,0.64743054,0.8125004,0.31864205,-0.095834196
40,1904-05-16,0.84499395,0.5851527,0.37359095,-0.1665067
41,1904-06-16,-0.780146,0.33213186,0.32380077,0.02259672
42,1904-07-16,-1.3724772,-0.8881627,-0.6828626,-0.64858377
43,1904-08-16,-1.3281336,-0.8656605,-0.89251006,-0.8744218
44,1904-09-16,-1.2341343,-1.370991,-0.88363045,-0.8577939
45,1904-10-16,-0.5719872,-1.294296,-0.962589,-0.8303256
46,1904-11-16,0.22550812,-1.1545379,-0.74751943,-0.7729165
47,1904-12-16,0.29765606,-1.1643918,-1.309934,-0.8371986
48,1905-01-16,1.3089001,-0.15655255,-1.0326967,-0.7069718
49,1905-02-15,1.276266,0.9772626,-0.785696,-0.38943753
50,1905-03-16,1.3006994,1.2065465,-0.5720274,-0.81908107
51,1905-04-16,0.77448696,1.13412,0.23392878,-0.65876544
52,1905-05-16,-0.03571491,0.638412,0.5285196,-0.720175
53,1905-06-16,-0.92624503,0.2880135,0.2855623,-0.82808626
54,1905-07-16,-1.5452118,-0.9585247,-0.59008545,-0.8150482
55,1905-08-16,-1.761952,-1.6365647,-1.2469285,-1.137858
56,1905-09-16,-1.2295749,-1.410687,-0.89069176,-0.86564994
57,1905-10-16,-0.79124707,-1.5216062,-1.121068,-0.87344545
