,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.4797366,,,
3,1901-04-16,-0.4554989,,,
4,1901-05-16,-0.30990088,,,
5,1901-06-16,-0.800386,-0.0074677416,,
6,1901-07-16,1.3738672,0.8990099,,
7,1901-08-16,0.9922841,0.72522974,,
8,1901-09-16,1.0547119,0.7859516,0.77766365,
9,1901-10-16,-1.0078695,0.8503745,0.44340464,
10,1901-11-16,-0.7803402,0.8535579,0.6010767,
11,1901-12-16,-0.94253993,0.8117674,0.56995445,0.6092754
12,1902-01-16,-1.6439444,-1.7150387,0.3216271,0.041256268
13,1902-02-15,-1.7079344,-1.7420105,0.09262142,-0.03966382
14,1902-03-16,-1.7828603,-1.7960982,-0.08734409,-0.269542
15,1902-04-16,-1.3868442,-1.7641834,-1.9068838,-0.2972755
16,1902-05-16,-0.95993644,-1.5699464,-1.6197163,-0.24953924
17,1902-06-16,0.010526282,-1.3954011,-1.4806112,-0.09613492
18,1902-07-16,-0.87451786,-1.5079507,-1.841599,-2.008487
19,1902-08-16,-1.0634034,-1.3377484,-1.7517867,-1.8135014
20,1902-09-16,-1.2010629,-1.0449709,-1.704548,-1.7788042
21,1902-10-16,-0.45558038,-0.99368,-1.4772817,-1.7578815
22,1902-11-16,0.99154186,-0.7063424,-1.1011564,-1.5665387
23,1902-12-16,0.8943162,-0.73780364,-0.70135355,-1.4462811
24,1903-01-16,0.4517566,-0.11088148,-0.675342,-1.2357844
25,1903-02-15,-0.1544707,0.07799485,-0.6985825,-1.0258652
26,1903-03-16,0.25721136,0.47038496,-0.5366639,-0.53365374
27,1903-04-16,0.48883033,0.5208474,0.104791634,-0.3868492
28,1903-05-16,1.070632,0.5586713,0.68179893,-0.18960935
29,1903-06-16,0.49992743,0.36101934,0.51618016,-0.36879852
30,1903-07-16,0.44753948,0.40046063,0.44896078,0.17589973
31,1903-08-16,-0.49265492,0.061082155,-0.07337136,0.033468317
32,1903-09-16,-0.4158713,-0.18547256,-0.17196257,-0.01921399
33,1903-10-16,-1.233188,-0.25895223,-0.12446191,-0.038170177
34,1903-11-16,-0.5310715,-0.60458016,-0.039836716,-0.15878306
35,1903-12-16,0.15857197,-0.37601614,-0.1738858,-0.15460251
36,1904-01-16,0.57638526,-0.5307442,-0.14243288,-0.010422553
37,1904-02-15,0.23823278,-0.08984584,-0.4626983,-0.01354424
38,1904-03-16,0.39308333,0.3250007,-0.20730986,-0.073034585
39,1904-04-16,-0.16316532,0.051597506,-0.5541169,-0.26668018
40,1904-05-16,-0.33659038,-0.14297082,-0.3225757,-0.5444871
41,1904-06-16,-1.2755882,-0.25428367,-0.26908657,-0.49982467
42,1904-07-16,-1.3769568,-0.9902749,-0.72656983,-1.1103972
43,1904-08-16,-1.4420732,-1.3183594,-1.0350922,-1.1035591
44,1904-09-16,-1.3810811,-1.7528386,-1.1304356,-1.0721021
45,1904-10-16,-1.0509521,-1.5646175,-1.2714239,-1.0517136
46,1904-11-16,0.5771778,-1.1485993,-1.1708063,-0.94868284
47,1904-12-16,0.09614303,-1.190205,-1.5464563,-1.0634851
48,1905-01-16,1.6296147,0.39237952,-0.4702952,-0.5680508
49,1905-02-15,1.7162524,1.7501712,0.01365151,-0.17604823
50,1905-03-16,2.0691235,2.1047418,0.43263707,0.113966286
51,1905-04-16,1.5727091,2.0588734,1.1331786,0.3327583
52,1905-05-16,0.88426375,1.6812361,1.6966033,0.2691799
53,1905-06-16,-0.4624668,1.6475967,1.5928293,0.26646438
54,1905-07-16,-1.6156956,0.17342623,0.6770063,0.2490061
55,1905-08-16,-1.5786462,-0.7091008,0.15141074,0.18293382
56,1905-09-16,-1.5151197,-1.5006828,0.1998533,0.18745977
57,1905-10-16,-1.3528246,-1.8162928,-0.3559419,0.17525078
