,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-1.8058825,,,
3,1901-04-16,-1.5767128,,,
4,1901-05-16,-0.78661925,,,
5,1901-06-16,0.13533601,-1.010587,,
6,1901-07-16,0.60561216,-0.64279264,,
7,1901-08-16,-0.020843815,-0.6420068,,
8,1901-09-16,-0.5582938,-0.22498363,-1.0906998,
9,1901-10-16,-0.90408933,0.032160453,-0.89044464,
10,1901-11-16,-0.59729224,-0.38042983,-0.8249719,
11,1901-12-16,-1.1194743,-1.2164711,-0.6848961,-1.3889632
12,1902-01-16,-1.764157,-1.9814868,-0.8588577,-1.4713814
13,1902-02-15,-1.7757602,-1.8185778,-1.4636396,-1.4763918
14,1902-03-16,-1.3022859,-1.6041914,-1.6687444,-1.2181432
15,1902-04-16,-0.6143001,-1.3620877,-1.6084657,-1.0164775
16,1902-05-16,-0.051306337,-0.9465862,-1.0864373,-0.9971063
17,1902-06-16,0.2552583,-0.55717355,-0.8780911,-1.0397303
18,1902-07-16,0.28382698,-0.2079464,-0.849793,-1.0831304
19,1902-08-16,-0.12731802,-0.15313561,-0.8589965,-0.9797307
20,1902-09-16,-0.6938113,-0.17309839,-0.75187045,-1.0229635
21,1902-10-16,-0.7760246,-0.17898913,-0.45209086,-1.0193255
22,1902-11-16,0.8507456,0.34420255,0.12580818,-0.6060971
23,1902-12-16,0.65702635,0.013584707,0.15161332,-0.5040115
24,1903-01-16,0.65631753,0.083678864,0.23256348,-0.1658537
25,1903-02-15,-0.37187266,0.14798094,0.061101895,-0.04609639
26,1903-03-16,-0.13016316,0.23523857,-0.12594692,0.039805986
27,1903-04-16,-0.5855515,-0.10250222,-0.40103108,-0.15381144
28,1903-05-16,-0.36266983,-0.500163,-0.20801437,-0.22004774
29,1903-06-16,-0.33425468,-0.34091073,-0.087306276,-0.31685016
30,1903-07-16,0.6046727,0.013552471,0.2281426,-0.022650514
31,1903-08-16,0.678963,0.10914597,-0.09441634,0.11641582
32,1903-09-16,0.90736926,0.1735391,0.06217702,0.2272852
33,1903-10-16,-0.17940083,0.3487391,-0.059523787,0.13939829
34,1903-11-16,-0.86242193,0.16043942,-0.18899332,-0.3247938
35,1903-12-16,-1.4151133,-0.22219093,-0.42942607,-0.41513857
36,1904-01-16,-0.5002305,-0.5441692,0.021308122,-0.29846054
37,1904-02-15,-0.86626196,-1.210042,-0.41072804,-0.55703276
38,1904-03-16,-0.29965508,-0.9840899,-0.39728305,-0.5341485
39,1904-04-16,-0.70256805,-0.83300596,-0.8699885,-0.3999436
40,1904-05-16,0.19528915,-0.30094105,-0.55191046,-0.18297632
41,1904-06-16,0.0010243169,-0.17960495,-0.6414199,-0.2790219
42,1904-07-16,0.15248193,-0.35212442,-0.5306081,-0.5802513
43,1904-08-16,-0.30421215,-0.04925204,-0.3944452,-0.60489374
44,1904-09-16,0.088183545,-0.030650483,-0.15736686,-0.592369
45,1904-10-16,0.5378265,0.3210131,-0.13988122,-0.35509562
46,1904-11-16,1.2252424,0.45309758,0.36950988,-0.022844061
47,1904-12-16,0.9369456,0.65441597,0.3446822,0.13848332
48,1905-01-16,0.896849,0.9520736,0.70867944,0.17375901
49,1905-02-15,-0.2274176,0.5673078,0.2248254,0.20710148
50,1905-03-16,-0.5405782,0.10949802,0.08542368,0.013403509
51,1905-04-16,-1.3989089,-0.5745871,-0.33823973,-0.20156002
52,1905-05-16,-0.93722004,-0.8395824,-0.3655183,-0.45086995
53,1905-06-16,-0.6474526,-0.77030975,-0.3299641,-0.31082416
54,1905-07-16,-0.35310683,-1.179604,-0.6418166,-0.46285376
55,1905-08-16,-0.39146248,-0.99270856,-0.91669315,-0.5091958
56,1905-09-16,-0.36794686,-0.7570739,-0.8261117,-0.45830056
57,1905-10-16,-0.33877102,-0.52111447,-1.1738186,-0.7042823
