,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-0.2799763,,,
3,1901-04-16,-0.75277984,,,
4,1901-05-16,0.906986,,,
5,1901-06-16,1.5169204,0.74494267,,
6,1901-07-16,1.2457999,0.23719016,,
7,1901-08-16,-1.4160142,-0.3651482,,
8,1901-09-16,-1.4195254,-0.21835588,-0.35815045,
9,1901-10-16,-1.3332967,-0.030441418,-0.46641758,
10,1901-11-16,-0.5804307,-1.4574975,-0.5182678,
11,1901-12-16,-1.7770424,-1.8015432,-0.7189759,-0.7536341
12,1902-01-16,-2.3311753,-2.2750852,-1.1365888,-1.2926241
13,1902-02-15,-2.3563929,-2.5297546,-2.60642,-1.6402357
14,1902-03-16,-2.401265,-2.441829,-2.6390429,-1.7839973
15,1902-04-16,-1.8265957,-2.384096,-2.4520397,-1.7600375
16,1902-05-16,-1.4329839,-2.2869327,-2.368347,-2.3653178
17,1902-06-16,-0.88710785,-2.1720517,-2.317463,-2.4024851
18,1902-07-16,-0.7964838,-1.9169667,-2.325109,-2.3553486
19,1902-08-16,-1.2962509,-1.923211,-2.4850283,-2.5860984
20,1902-09-16,-1.6483034,-1.6921575,-2.5239093,-2.618361
21,1902-10-16,-1.681033,-1.5059298,-2.245637,-2.5349054
22,1902-11-16,-0.39056888,-1.2909191,-1.8088801,-2.399618
23,1902-12-16,-0.36575586,-1.5797944,-1.6772518,-2.564799
24,1903-01-16,-0.1561404,-1.3375958,-1.3981231,-2.0739698
25,1903-02-15,-1.1654073,-1.270922,-1.7183233,-2.0236692
26,1903-03-16,-0.06854852,-0.3108002,-1.2510408,-1.403893
27,1903-04-16,-0.5071928,-0.51886916,-1.1701617,-1.2737372
28,1903-05-16,0.76371324,-0.20159644,-0.29361954,-0.87839615
29,1903-06-16,0.25285962,0.025582466,-0.14744863,-0.9730084
30,1903-07-16,0.7188864,0.05295242,-0.07932946,-0.7658038
31,1903-08-16,-0.085855536,0.40007576,-0.28172854,-0.35398605
32,1903-09-16,0.2185641,0.2235614,0.11623811,-0.052783024
33,1903-10-16,-0.1428805,0.28060913,-0.06762915,-0.1831658
34,1903-11-16,-0.24064326,-0.20389616,0.27070192,-0.3342409
35,1903-12-16,-0.72902465,-0.17162237,-0.06840283,-0.10134768
36,1904-01-16,1.1576855,0.59711117,0.7800974,0.36558747
37,1904-02-15,0.10261204,-0.012233145,-0.1283811,0.25272915
38,1904-03-16,1.4096543,0.8450894,0.69319165,0.6625592
39,1904-04-16,-0.12314238,0.5506927,0.3181694,0.5321066
40,1904-05-16,0.75066274,0.5670659,0.46661064,0.23883389
41,1904-06-16,-1.2617785,0.42965615,0.08962611,0.1519692
42,1904-07-16,-1.0043572,-0.6596486,-0.025836749,-0.13541184
43,1904-08-16,-0.7173292,-0.027652813,-0.032310385,-0.07928758
44,1904-09-16,-0.22083846,-0.8843442,0.12907761,-0.12362845
45,1904-10-16,0.31160393,-0.45408162,-0.39579192,0.06241927
46,1904-11-16,0.97828,-0.26183826,0.22123428,0.18755573
47,1904-12-16,0.25077602,-0.1933261,-0.76252455,0.1539063
48,1905-01-16,0.44894403,0.4219122,-0.22818449,-0.23843569
49,1905-02-15,0.19592033,0.65355486,-0.12077656,0.2507692
50,1905-03-16,0.82997453,0.6741308,0.31272107,-0.20652193
51,1905-04-16,-0.20776795,0.03848943,0.14627281,-0.2540897
52,1905-05-16,0.10184484,0.1473312,0.4454928,-0.079578035
53,1905-06-16,-0.7205206,0.19008769,0.1928957,-0.007889597
54,1905-07-16,-1.0092548,-0.7271218,-0.45147052,-0.28812715
55,1905-08-16,-1.9638342,-1.3349091,-1.0002681,-0.7269951
56,1905-09-16,-1.13439,-1.2740912,-0.6027329,-0.5444953
57,1905-10-16,-0.819949,-1.1543167,-0.98782825,-0.76170945
