,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.3221492,,,
3,1901-04-16,-0.3764954,,,
4,1901-05-16,-0.21805373,,,
5,1901-06-16,-0.3939966,0.034935366,,
6,1901-07-16,0.2124388,-0.29826057,,
7,1901-08-16,0.25249186,-0.14087275,,
8,1901-09-16,0.52845454,-0.026892126,0.12837759,
9,1901-10-16,-0.188715,0.09521598,-0.3284413,
10,1901-11-16,-0.48568872,0.04851241,-0.19813861,
11,1901-12-16,-0.81607115,-0.18093267,-0.3588887,-0.05912993
12,1902-01-16,-1.164887,-1.075479,-0.81615347,-0.7754654
13,1902-02-15,-1.1002498,-1.1112062,-0.98244494,-0.85102063
14,1902-03-16,-1.1378789,-1.2159014,-1.0129281,-1.0246953
15,1902-04-16,-0.7145735,-1.1518658,-1.1033949,-0.9993541
16,1902-05-16,-0.49781463,-1.0456966,-1.0489483,-0.94772047
17,1902-06-16,-0.07045505,-0.9551449,-1.0530571,-0.8859238
18,1902-07-16,-0.48606023,-0.78183836,-1.1379857,-1.0942142
19,1902-08-16,-0.8338663,-0.7506111,-1.14182,-1.1397411
20,1902-09-16,-0.68367255,-0.40993354,-1.047455,-1.1250737
21,1902-10-16,-0.30156457,-0.5311367,-0.8030142,-1.1251514
22,1902-11-16,1.0465492,-0.059182897,-0.4799117,-0.9801588
23,1902-12-16,0.3855302,-0.10692666,-0.12758805,-0.86813027
24,1903-01-16,0.20721383,0.05460989,-0.16310687,-0.5982589
25,1903-02-15,-0.09119146,0.10571431,-0.16363648,-0.41306165
26,1903-03-16,0.3156785,0.35311317,0.12856643,0.0115166595
27,1903-04-16,0.46433547,0.39994633,0.28458023,0.10749645
28,1903-05-16,0.960437,0.49972704,0.5963737,0.37152377
29,1903-06-16,0.6548121,0.45462036,0.47024804,0.291281
30,1903-07-16,0.64476234,0.53157973,0.46956435,0.37151572
31,1903-08-16,-0.554213,0.6082084,0.2989636,0.4018947
32,1903-09-16,-0.28030428,0.38062876,0.32378367,0.35692918
33,1903-10-16,-0.5279882,0.26823556,0.35771495,0.32904217
34,1903-11-16,-0.09329853,-0.505833,0.5188236,0.24896719
35,1903-12-16,0.2356234,-0.07171762,0.35852692,0.32522836
36,1904-01-16,0.44008896,0.17468812,0.3661396,0.4306166
37,1904-02-15,0.15990973,0.08403062,-0.12247701,0.43381336
38,1904-03-16,0.1014491,0.09724296,-0.008111176,0.19661254
39,1904-04-16,-0.16248985,0.04487396,-0.09772524,0.05395389
40,1904-05-16,-0.18221311,-0.063904665,-0.11375337,-0.23641062
41,1904-06-16,-0.2695589,-0.063601494,-0.058965802,-0.13022135
42,1904-07-16,-0.30246142,-0.25881138,-0.056911577,-0.17236382
43,1904-08-16,-0.26476863,-0.30601355,-0.13690363,-0.18021359
44,1904-09-16,-0.38711894,-0.45541734,-0.17670241,-0.15574223
45,1904-10-16,0.004055075,-0.2853167,-0.26610807,-0.07589499
46,1904-11-16,0.9624143,0.2509465,-0.10851017,-0.028456515
47,1904-12-16,0.033534586,-0.22375937,-0.33407182,-0.17256252
48,1905-01-16,1.0626687,1.0137124,0.79857373,0.3436375
49,1905-02-15,1.2194663,1.3163136,1.1824688,0.7739554
50,1905-03-16,1.6147393,1.5657325,1.4159476,1.1717668
51,1905-04-16,1.0641817,1.3505584,1.3182067,1.1829909
52,1905-05-16,0.62214464,1.1461399,1.204224,1.1063443
53,1905-06-16,-0.31488517,1.2043114,1.1433982,1.0225563
54,1905-07-16,-0.79669565,0.6961542,1.0556378,1.0216312
55,1905-08-16,-0.6088123,0.29741576,0.9566948,1.0201168
56,1905-09-16,-0.30562285,-0.43578738,1.1211835,1.0515262
57,1905-10-16,-0.3433979,-0.7655631,0.5748169,0.9612829
58,1905-11-16,-0.41710693,-0.6954804,0.19156218,0.8695872
