,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,-0.036683783,,,
3,1901-04-16,-0.57849234,,,
4,1901-05-16,0.8305303,,,
5,1901-06-16,0.9995581,0.5575736,,
6,1901-07-16,0.5219046,0.07048856,,
7,1901-08-16,-1.1254452,-0.6910559,,
8,1901-09-16,-1.0855742,-0.6463928,-0.6465093,
9,1901-10-16,-1.4123995,-0.60410917,-0.77919644,
10,1901-11-16,-0.53971446,-1.1969095,-0.8059155,
11,1901-12-16,-1.6752083,-1.3351206,-0.9151686,-0.8944066
12,1902-01-16,-2.2333026,-1.9628105,-1.1562688,-1.260958
13,1902-02-15,-2.1789615,-2.267346,-1.8995817,-1.498812
14,1902-03-16,-2.2175121,-2.2906911,-1.906563,-1.5489165
15,1902-04-16,-1.5552329,-2.160519,-2.1009188,-1.5159494
16,1902-05-16,-1.0475472,-2.0742686,-2.0389504,-1.8595715
17,1902-06-16,-0.2927719,-1.8241266,-2.089728,-1.7849913
18,1902-07-16,-0.5067502,-1.3632303,-1.8364729,-1.9854615
19,1902-08-16,-1.0852209,-1.395652,-2.032245,-2.0235598
20,1902-09-16,-1.3243079,-1.2757175,-1.9136175,-2.0677168
21,1902-10-16,-1.3561659,-1.1818173,-1.6603019,-1.9900415
22,1902-11-16,-0.47596517,-1.1473775,-1.4008596,-1.9343023
23,1902-12-16,-0.80415994,-1.4108635,-1.3627145,-1.9537737
24,1903-01-16,-0.5797942,-1.3880615,-1.276663,-1.7037027
25,1903-02-15,-1.2558577,-1.3487895,-1.5021077,-1.6899197
26,1903-03-16,-0.409835,-0.7420267,-1.4214274,-1.3932716
27,1903-04-16,-0.7802168,-0.95676535,-1.4244204,-1.364883
28,1903-05-16,0.3830765,-0.595611,-0.74900424,-1.1843315
29,1903-06-16,-0.7057863,-0.79320234,-0.98879397,-1.4371622
30,1903-07-16,0.37847555,-0.16355027,-0.38934422,-1.0347369
31,1903-08-16,-0.056078475,0.043668933,-0.40410724,-0.5247189
32,1903-09-16,0.3185379,0.06023583,-0.112608455,-0.29383174
33,1903-10-16,-0.066367656,0.103101894,-0.20023426,-0.37787527
34,1903-11-16,0.112354375,-0.06993544,0.0233637,-0.39300203
35,1903-12-16,-0.5478626,0.13530533,-0.08537618,-0.2354167
36,1904-01-16,1.069142,0.2803668,0.3654459,0.061736993
37,1904-02-15,-0.008957905,0.06534775,-0.09140407,0.0028499297
38,1904-03-16,1.433346,0.9794879,0.6759629,0.44433156
39,1904-04-16,0.3372696,0.79732436,0.3199176,0.4055685
40,1904-05-16,1.1108419,0.77386725,0.6709115,0.25945503
41,1904-06-16,-1.3094203,0.43384558,0.16123642,0.2755435
42,1904-07-16,-0.98709947,-0.63118494,-0.21646932,-0.27584678
43,1904-08-16,-0.7777748,-0.25480178,-0.2653809,-0.2524421
44,1904-09-16,-0.6927472,-1.029011,-0.38864487,-0.52338994
45,1904-10-16,-0.28922778,-0.8322563,-0.6360113,-0.37987345
46,1904-11-16,-0.1709529,-0.79463947,-0.3228277,-0.33585024
47,1904-12-16,0.064185716,-0.6897924,-0.99513733,-0.3944335
48,1905-01-16,0.41985708,-0.1902854,-0.7131767,-0.52923185
49,1905-02-15,0.42251906,0.21667647,-0.6305643,-0.19887017
50,1905-03-16,0.8102187,0.608477,-0.35635787,-0.6679884
51,1905-04-16,-0.13881032,0.04864733,-0.27069774,-0.69364136
52,1905-05-16,-0.17439221,0.1128296,-0.022945067,-0.6253359
53,1905-06-16,-1.2752064,-0.1711431,-0.16683315,-0.64594126
54,1905-07-16,-1.5278852,-1.3245935,-1.0721185,-0.9998233
55,1905-08-16,-2.1286254,-1.9472854,-1.6586764,-1.6067661
56,1905-09-16,-1.0617837,-1.3285569,-0.9687787,-0.9706615
57,1905-10-16,-0.4875787,-1.2575264,-1.2073172,-1.081331
