,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.1867272,,,
3,1901-04-16,-0.42500448,,,
4,1901-05-16,0.78062856,,,
5,1901-06-16,0.8058429,0.65096724,,
6,1901-07-16,0.47119904,0.08797904,,
7,1901-08-16,-1.0553852,-0.54323596,,
8,1901-09-16,-1.0225711,-0.5742662,-0.5206644,
9,1901-10-16,-1.2288597,-0.5193159,-0.6518092,
10,1901-11-16,-0.6827866,-1.1467526,-0.6873272,
11,1901-12-16,-1.5546842,-1.2465351,-0.79626364,-0.7295467
12,1902-01-16,-2.0556579,-1.6917671,-0.9106946,-0.98037374
13,1902-02-15,-1.882556,-1.9253216,-1.6161366,-1.1595765
14,1902-03-16,-1.8190734,-1.9696877,-1.6878195,-1.2694299
15,1902-04-16,-1.3232895,-1.7908194,-1.8209407,-1.2519186
16,1902-05-16,-1.0269542,-1.7469355,-1.7100292,-1.644384
17,1902-06-16,-0.5920216,-1.6264699,-1.8469255,-1.6025708
18,1902-07-16,-0.80207384,-1.4926803,-1.813268,-1.8751194
19,1902-08-16,-1.1090908,-1.469444,-1.9062465,-1.9146664
20,1902-09-16,-1.2011224,-1.2561601,-1.7480996,-1.9009135
21,1902-10-16,-1.0583465,-1.157706,-1.5737689,-1.824284
22,1902-11-16,-0.2738152,-1.088898,-1.398302,-1.774896
23,1902-12-16,-0.49794513,-1.2571416,-1.2986042,-1.7527177
24,1903-01-16,-0.5318961,-1.1529634,-1.2337826,-1.6110452
25,1903-02-15,-0.98562115,-0.9599242,-1.3185298,-1.5798604
26,1903-03-16,-0.0738516,-0.3379247,-1.1920993,-1.2524043
27,1903-04-16,-0.33211,-0.5501102,-1.0425597,-1.1642092
28,1903-05-16,0.49202043,-0.11799519,-0.26611853,-0.9281287
29,1903-06-16,-0.2942396,-0.3279526,-0.46867782,-1.1201686
30,1903-07-16,-0.3852266,-0.54188406,-0.6803398,-1.0859911
31,1903-08-16,-0.7136171,-0.42269212,-0.6990474,-0.7443526
32,1903-09-16,-0.4080449,-0.49907398,-0.5355055,-0.6281563
33,1903-10-16,-0.30503827,-0.5048521,-0.5919088,-0.7029325
34,1903-11-16,-0.06846808,-0.6977048,-0.4377811,-0.6882934
35,1903-12-16,-0.2761811,-0.5065898,-0.5642114,-0.5883706
36,1904-01-16,1.0315549,0.0025762692,-0.28874427,-0.37907356
37,1904-02-15,0.02880705,-0.063658014,-0.6915991,-0.43475547
38,1904-03-16,1.4872931,1.1937225,0.20515203,0.05710734
39,1904-04-16,0.6791957,0.9546776,0.28408608,-0.009699854
40,1904-05-16,0.9221489,0.7529588,0.5594249,-0.2168613
41,1904-06-16,-1.0811929,0.46612167,0.30645546,-0.20918345
42,1904-07-16,-1.2405399,-0.5415275,-0.23670952,-0.42766553
43,1904-08-16,-1.137862,-0.5207325,-0.5122794,-0.52486485
44,1904-09-16,-0.9707939,-1.2410564,-0.57848537,-0.63933885
45,1904-10-16,-0.61372584,-1.1554644,-0.75347674,-0.5563246
46,1904-11-16,-0.20042734,-1.0914086,-0.55823886,-0.55563706
47,1904-12-16,-0.40082645,-1.0394962,-1.2724116,-0.64543283
48,1905-01-16,0.19685389,-0.5661416,-1.102656,-0.7132418
49,1905-02-15,0.70010185,0.34762615,-0.8633499,-0.37249112
50,1905-03-16,1.1657381,0.8343517,-0.48181525,-0.79609823
51,1905-04-16,0.5021753,0.44925794,-0.22051844,-0.7644823
52,1905-05-16,0.15669723,0.41661873,0.21658799,-0.6895672
53,1905-06-16,-0.8824175,0.25528955,0.0897128,-0.71414876
54,1905-07-16,-1.3852248,-0.7723136,-0.7061001,-0.8983623
55,1905-08-16,-1.8979095,-1.5595586,-1.3061672,-1.2790394
56,1905-09-16,-0.9995028,-1.1946669,-0.71109605,-0.78390265
