,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.35983086,,,
3,1901-04-16,-0.43245086,,,
4,1901-05-16,-0.25893456,,,
5,1901-06-16,-0.7022969,-0.1855704,,
6,1901-07-16,1.3961465,0.9799713,,
7,1901-08-16,0.98500776,0.7340515,,
8,1901-09-16,1.0502416,0.7377602,0.71144414,
9,1901-10-16,-1.1165679,0.8278041,0.45743763,
10,1901-11-16,-0.88752437,0.8476375,0.60614705,
11,1901-12-16,-0.98475295,0.852356,0.55783916,0.5622837
12,1902-01-16,-1.5498827,-1.7523491,0.40905678,0.11794554
13,1902-02-15,-1.6730084,-1.8020835,0.19942094,0.050294336
14,1902-03-16,-1.7508425,-1.8003671,0.029520318,-0.20319381
15,1902-04-16,-1.3107908,-1.7038411,-1.9063468,-0.21117178
16,1902-05-16,-0.7725562,-1.4409962,-1.5548207,-0.14214212
17,1902-06-16,0.0133645665,-1.2847669,-1.4088434,-0.007534761
18,1902-07-16,-0.8061191,-1.4456693,-1.7580464,-2.0101876
19,1902-08-16,-1.102223,-1.3148506,-1.7386216,-1.844816
20,1902-09-16,-1.2435424,-1.0764601,-1.7045698,-1.8146191
21,1902-10-16,-0.62508655,-1.0592552,-1.5168469,-1.8012391
22,1902-11-16,1.04912,-0.7594892,-1.090436,-1.5648787
23,1902-12-16,1.047334,-0.79379267,-0.7459712,-1.4538267
24,1903-01-16,0.7158879,-0.1451141,-0.7153004,-1.2668045
25,1903-02-15,-0.11201358,0.19331044,-0.7630028,-1.0462582
26,1903-03-16,0.20754525,0.5079531,-0.627097,-0.61763793
27,1903-04-16,0.25715384,0.45463297,-0.053198967,-0.50030833
28,1903-05-16,1.1836915,0.79697514,0.92334473,-0.10295783
29,1903-06-16,0.7890843,0.56586,0.74336874,-0.28774944
30,1903-07-16,0.59928316,0.45914945,0.5636945,0.20664601
31,1903-08-16,-0.6097367,0.07522766,-0.02775371,0.09268382
32,1903-09-16,-0.50352776,-0.098865494,-0.11609632,0.059140805
33,1903-10-16,-1.1822369,-0.10408432,-0.09375774,0.04436679
34,1903-11-16,-0.5234287,-0.7409469,-0.028120648,-0.119182356
35,1903-12-16,0.22777607,-0.46819544,-0.08137369,-0.08991447
36,1904-01-16,0.34559488,-0.7531415,-0.07266918,-0.03742744
37,1904-02-15,0.032257076,-0.3305941,-0.6911826,-0.05109573
38,1904-03-16,0.13164866,0.09930655,-0.4129616,-0.09922226
39,1904-04-16,-0.43111828,-0.30284327,-0.8422886,-0.30595458
40,1904-05-16,-0.6833403,-0.53490144,-0.70059586,-0.8766989
41,1904-06-16,-1.4402547,-0.7421646,-0.6878023,-0.84105515
42,1904-07-16,-1.4655235,-1.248574,-1.0715169,-1.4403987
43,1904-08-16,-1.4569776,-1.5225126,-1.335182,-1.4176401
44,1904-09-16,-1.3864312,-1.8931234,-1.4533358,-1.3941321
45,1904-10-16,-1.0329474,-1.6888313,-1.4959884,-1.370941
46,1904-11-16,0.7976786,-1.1498073,-1.3553512,-1.2167548
47,1904-12-16,0.42984667,-1.1439178,-1.6680353,-1.3404703
48,1905-01-16,1.6263857,0.2772463,-0.69382143,-0.8532174
49,1905-02-15,1.5360222,1.5355687,-0.18861327,-0.52964467
50,1905-03-16,1.9615731,2.031354,0.3176936,-0.16501954
51,1905-04-16,1.4140816,1.8551813,0.9323908,0.11495851
52,1905-05-16,0.67934704,1.3192372,1.3492908,0.05995501
53,1905-06-16,-0.6648224,1.2418747,1.2418,0.037781082
54,1905-07-16,-1.7210475,-0.056751017,0.45358384,-0.007763952
55,1905-08-16,-1.5529794,-0.8066536,-0.10338402,-0.0333357
56,1905-09-16,-1.4653344,-1.5795405,-0.07452644,-0.024680287
57,1905-10-16,-1.1964839,-1.9137704,-0.555187,-0.04191865
