,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.5549522,,,
3,1901-04-16,-0.1383514,,,
4,1901-05-16,-0.38945624,,,
5,1901-06-16,-1.0893258,-0.48759577,,
6,1901-07-16,-0.34909415,-0.39002487,,
7,1901-08-16,-0.6578353,-0.7706213,,
8,1901-09-16,-0.54989785,-0.8048995,-0.67611104,
9,1901-10-16,-1.0305208,-0.83063835,-0.8284447,
10,1901-11-16,-0.8481574,-0.81278056,-0.89572835,
11,1901-12-16,-0.37439772,-0.59394306,-0.8318644,-0.7049466
12,1902-01-16,-0.75788856,-1.1400326,-0.9104731,-0.8960116
13,1902-02-15,-1.140818,-1.2310519,-0.9778576,-1.0356942
14,1902-03-16,-1.5525589,-1.3607901,-0.9457271,-1.136636
15,1902-04-16,-1.3254457,-1.3992718,-1.5267597,-1.2030758
16,1902-05-16,-0.6865538,-1.0486182,-1.1993828,-1.0759283
17,1902-06-16,0.22120492,-0.8342565,-0.87760097,-0.83323115
18,1902-07-16,-0.5099363,-1.0567756,-1.1498909,-1.5733361
19,1902-08-16,-0.27669984,-0.51713943,-0.7039464,-0.8851988
20,1902-09-16,-0.32005253,-0.26769152,-0.616082,-0.6697801
21,1902-10-16,0.39822808,-0.17419587,-0.548508,-0.64361984
22,1902-11-16,0.25758427,-0.23719953,-0.4426643,-0.6145597
23,1902-12-16,-0.22102241,-0.34686705,-0.2948993,-0.6231746
24,1903-01-16,-0.25381967,0.28424427,-0.20409113,-0.5588473
25,1903-02-15,-0.1794586,-0.016733909,-0.26720408,-0.45400277
26,1903-03-16,1.198929,0.741517,-0.074361585,-0.043268453
27,1903-04-16,1.3910073,1.0147184,0.6583116,0.11286133
28,1903-05-16,1.487648,1.0730952,0.7623866,0.104559146
29,1903-06-16,-0.3476622,0.40280262,0.19771363,-0.18699922
30,1903-07-16,0.7485568,1.0192567,0.93339205,0.8591659
31,1903-08-16,0.1542356,0.49726525,0.42352316,0.39429834
32,1903-09-16,0.27025425,0.14759317,0.33044338,0.26967475
33,1903-10-16,-0.9029518,0.05802998,0.33273512,0.27102688
34,1903-11-16,-0.2834265,0.03449121,0.36641958,0.29693705
35,1903-12-16,0.091676615,0.2612675,0.14408681,0.3214803
36,1904-01-16,1.6669172,-0.22886167,0.33465934,0.57338196
37,1904-02-15,1.4262136,0.5647435,0.29133365,0.5876989
38,1904-03-16,1.965579,1.642151,0.6752629,0.5532591
39,1904-04-16,0.5960091,1.3508917,-0.03876361,0.41424945
40,1904-05-16,0.3153503,0.96691823,0.47553948,0.30797574
41,1904-06-16,-0.97155046,0.66098315,0.53642607,0.4114617
42,1904-07-16,-1.0162762,-0.66176265,-0.22592598,-0.72811717
43,1904-08-16,-1.195981,-1.0311526,-0.70904285,-0.77586794
44,1904-09-16,-1.1609353,-1.3394676,-0.751605,-0.7457216
45,1904-10-16,-1.0104452,-1.276401,-1.024458,-0.72570086
46,1904-11-16,-0.3849282,-1.1807033,-1.038033,-0.75293857
47,1904-12-16,-0.33217698,-1.163212,-1.3268697,-0.77135706
48,1905-01-16,0.52158034,-0.76913816,-1.1378837,-0.9166021
49,1905-02-15,1.8166789,0.6886051,-0.7460299,-0.6487407
50,1905-03-16,2.1994858,1.6720366,-0.49515215,-0.6993911
51,1905-04-16,2.1833398,2.0384326,0.20305689,-0.46432135
52,1905-05-16,0.72025174,1.4933277,0.78456426,-0.5321839
53,1905-06-16,-0.49314547,1.1107014,0.80206823,-0.601772
54,1905-07-16,-1.2439367,-0.12457844,-0.04263896,-0.6530654
55,1905-08-16,-1.3207572,-1.0127325,-0.6070539,-0.7083576
56,1905-09-16,-1.2206751,-1.2658483,-0.6237203,-0.6793235
57,1905-10-16,-1.1823233,-1.5019289,-0.74561006,-0.6756392
