,time,spei03,spei06,spei09,spei12
0,1901-01-16,,,,
1,1901-02-15,,,,
2,1901-03-16,0.12670268,,,
3,1901-04-16,-0.4200908,,,
4,1901-05-16,-0.09066839,,,
5,1901-06-16,-0.25222874,-0.12713814,,
6,1901-07-16,1.0595767,0.36650732,,
7,1901-08-16,0.5690558,0.30381045,,
8,1901-09-16,0.62050796,0.33507898,0.2647256,
9,1901-10-16,-0.6978499,0.52306014,0.04105862,
10,1901-11-16,-0.7268913,0.4081967,0.18929082,
11,1901-12-16,-0.7827875,0.29192987,0.105955675,0.10068336
12,1902-01-16,-1.206669,-1.2992736,-0.06033016,-0.30380115
13,1902-02-15,-1.2531652,-1.3976654,-0.39865848,-0.37752348
14,1902-03-16,-1.2893808,-1.3959911,-0.54624426,-0.6198373
15,1902-04-16,-0.9096827,-1.2802005,-1.3581475,-0.5820408
16,1902-05-16,-0.513351,-1.0816236,-1.16444,-0.58106166
17,1902-06-16,-0.073177375,-0.99221706,-1.1258982,-0.52716494
18,1902-07-16,-0.5374005,-1.07583,-1.3381243,-1.4482301
19,1902-08-16,-0.84625006,-0.97660786,-1.3640108,-1.4310579
20,1902-09-16,-0.87907434,-0.7358185,-1.3128561,-1.4176563
21,1902-10-16,-0.48490033,-0.76138616,-1.1560937,-1.4097492
22,1902-11-16,0.9559946,-0.43822008,-0.75136465,-1.1912668
23,1902-12-16,0.7988831,-0.43438363,-0.43631443,-1.0730839
24,1903-01-16,0.55075586,-0.07024014,-0.42858493,-0.9120643
25,1903-02-15,-0.13133745,0.15899028,-0.49636063,-0.7461172
26,1903-03-16,0.15272361,0.37395036,-0.31683695,-0.38315296
27,1903-04-16,0.08928867,0.27379572,-0.040061694,-0.29549718
28,1903-05-16,0.9955728,0.6825948,0.7940796,0.17378776
29,1903-06-16,0.7847887,0.5475682,0.6713532,0.0488388
30,1903-07-16,0.7656054,0.4577374,0.5517531,0.27332625
31,1903-08-16,-0.5452214,0.31194338,0.16369613,0.27892104
32,1903-09-16,-0.38556725,0.19177842,0.12688856,0.27072108
33,1903-10-16,-0.6159161,0.29635274,0.15399393,0.2676656
34,1903-11-16,-0.2811209,-0.63217574,0.24227187,0.11053782
35,1903-12-16,0.1353536,-0.386079,0.16214333,0.12483287
36,1904-01-16,0.22820605,-0.37750864,0.26944512,0.1956709
37,1904-02-15,-0.05449631,-0.21330716,-0.5656435,0.15346305
38,1904-03-16,0.15105134,0.08163178,-0.25370923,0.112666816
39,1904-04-16,-0.35286662,-0.26061413,-0.51398593,-0.056394868
40,1904-05-16,-0.44175658,-0.40039358,-0.4755995,-0.68627155
41,1904-06-16,-1.0265241,-0.5616875,-0.5454571,-0.6858914
42,1904-07-16,-1.1278304,-0.91937,-0.76347405,-0.9381467
43,1904-08-16,-1.0371436,-1.0103424,-0.8999695,-0.9493505
44,1904-09-16,-0.8460739,-1.3263531,-0.9500478,-0.919924
45,1904-10-16,-0.46777397,-1.171577,-1.0022115,-0.8859961
46,1904-11-16,0.94140255,-0.63248056,-0.814397,-0.7477834
47,1904-12-16,0.34526926,-0.64485997,-1.1346824,-0.8519763
48,1905-01-16,1.0701263,0.37971124,-0.3726443,-0.5327194
49,1905-02-15,1.0242205,1.1658095,0.11829846,-0.22869502
50,1905-03-16,1.5027337,1.4699001,0.59156144,0.038654104
51,1905-04-16,0.97904044,1.2529482,0.83584225,0.2891712
52,1905-05-16,0.4491637,0.8624042,0.9529671,0.24817406
53,1905-06-16,-0.48524392,0.86424017,0.84414834,0.2326546
54,1905-07-16,-1.2531002,0.09693435,0.45781475,0.20758873
55,1905-08-16,-1.1325767,-0.43419176,0.08041815,0.18720132
56,1905-09-16,-0.9238137,-1.0440966,0.1798823,0.20065051
57,1905-10-16,-0.62904966,-1.3614538,-0.1798276,0.17435342
58,1905-11-16,-0.51411813,-1.2441297,-0.51152885,0.003760472
